TIME,ITERATION,OBJECTIVE,TYPE,DETAIL
3/31/26, 3:32:09 PM PDT,0,0.0,Version,"2025.07 (2025-07-21 09:08:19 beanshell3-9b893)"
3/31/26, 3:32:10 PM PDT,0,0.0,Load file,"PIN file 'C:/Users/eheimler.stu/Documents/Wreckers/Wreckers/models/k3z_patchworks_model/analysis/overlay_basecase_sum.pin' using BeanShell: 3.0.0-SPS.5569"
3/31/26, 3:32:11 PM PDT,0,0.0,Status,"Opening block shapefile ../blocks/blocks.shpwith key BLOCK"
3/31/26, 3:32:11 PM PDT,0,0.0,Status,"Loading blocks from C:\Users\eheimler.stu\Documents\Wreckers\Wreckers\models\k3z_patchworks_model\analysis\..\tracks_overlay_basecase_sum\blocks.csv"
3/31/26, 3:32:11 PM PDT,0,0.0,Load file,"Block file 'C:\Users\eheimler.stu\Documents\Wreckers\Wreckers\models\k3z_patchworks_model\analysis\..\tracks_overlay_basecase_sum\blocks.csv'"
3/31/26, 3:32:11 PM PDT,0,0.0,Hash code,"Block file 'B11D8683059DE029F7E917D4E32D49B03ABDF7C2'"
3/31/26, 3:32:11 PM PDT,0,0.0,Status,"Total blocks read: 218"
3/31/26, 3:32:11 PM PDT,0,0.0,Status,"Blocks with managed tracks: 181"
3/31/26, 3:32:11 PM PDT,0,0.0,Status,"Blocks with unmanaged tracks: 141"
3/31/26, 3:32:11 PM PDT,0,0.0,Status,"Loading curves from C:\Users\eheimler.stu\Documents\Wreckers\Wreckers\models\k3z_patchworks_model\analysis\..\tracks_overlay_basecase_sum\curves.csv"
3/31/26, 3:32:11 PM PDT,0,0.0,Load file,"Curve file 'C:\Users\eheimler.stu\Documents\Wreckers\Wreckers\models\k3z_patchworks_model\analysis\..\tracks_overlay_basecase_sum\curves.csv'"
3/31/26, 3:32:11 PM PDT,0,0.0,Hash code,"Curve file '91C785244533B7C7CB69028F3D7F4EC05F547F6B'"
3/31/26, 3:32:11 PM PDT,0,0.0,Status,"2559 curves read from 63675 records"
3/31/26, 3:32:11 PM PDT,0,0.0,Status,"Loading treatments from C:\Users\eheimler.stu\Documents\Wreckers\Wreckers\models\k3z_patchworks_model\analysis\..\tracks_overlay_basecase_sum\treatments.csv"
