BLOCK,DELTA,AGE,TYPE,TREATMENT
1,104,161,MANAGED,CC
1,188,84,MANAGED,CC
1,295,107,MANAGED,CC
2,54,111,MANAGED,CC
2,120,66,MANAGED,CC
2,172,52,MANAGED,CC
2,246,74,MANAGED,CC
4,153,210,MANAGED,CC
4,254,101,MANAGED,CC
5,153,200,MANAGED,CC
6,28,115,MANAGED,CC
6,151,123,MANAGED,CC
6,266,115,MANAGED,CC
7,205,262,MANAGED,CC
9,16,73,MANAGED,CC
9,91,75,MANAGED,CC
9,182,91,MANAGED,CC
9,269,87,MANAGED,CC
11,32,89,MANAGED,CC
11,115,83,MANAGED,CC
11,207,92,MANAGED,CC
11,297,90,MANAGED,CC
12,13,60,MANAGED,CC
12,95,82,MANAGED,CC
12,165,70,MANAGED,CC
12,246,81,MANAGED,CC
13,111,158,MANAGED,CC
13,189,78,MANAGED,CC
13,276,87,MANAGED,CC
14,27,74,MANAGED,CC
14,88,61,MANAGED,CC
14,166,78,MANAGED,CC
14,226,60,MANAGED,CC
15,141,268,MANAGED,CC
17,51,118,MANAGED,CC
17,275,224,MANAGED,CC
19,134,261,MANAGED,CC
19,254,120,MANAGED,CC
21,63,130,MANAGED,CC
22,42,99,MANAGED,CC
22,287,245,MANAGED,CC
25,67,124,MANAGED,CC
25,151,84,MANAGED,CC
25,247,96,MANAGED,CC
26,32,79,MANAGED,CC
26,121,89,MANAGED,CC
26,198,77,MANAGED,CC
26,271,73,MANAGED,CC
27,64,271,MANAGED,CC
27,166,102,MANAGED,CC
27,253,87,MANAGED,CC
28,62,119,MANAGED,CC
29,93,150,MANAGED,CC
29,173,80,MANAGED,CC
29,267,94,MANAGED,CC
30,59,166,MANAGED,CC
30,236,177,MANAGED,CC
33,100,227,MANAGED,CC
33,222,122,MANAGED,CC
35,13,70,MANAGED,CC
35,157,144,MANAGED,CC
35,231,74,MANAGED,CC
36,93,140,MANAGED,CC
36,168,75,MANAGED,CC
36,239,71,MANAGED,CC
39,64,111,MANAGED,CC
39,193,129,MANAGED,CC
40,179,416,MANAGED,CC
41,144,201,MANAGED,CC
41,250,106,MANAGED,CC
42,25,152,MANAGED,CC
42,125,100,MANAGED,CC
