TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Area.og1.CWHvm_HW_BA_M,0,0,10.0,0.0,10000.0,1.0,1.0,6.953000068664551,0.0
feature.Area.og1.CWHvm_HW_BA_M,1,10,10.0,0.0,10000.0,1.0,1.0,9.814000129699707,0.0
feature.Area.og1.CWHvm_HW_BA_M,2,20,10.0,0.0,10000.0,1.0,1.0,13.585000038146973,0.0
feature.Area.og1.CWHvm_HW_BA_M,3,30,10.0,0.0,10000.0,1.0,1.0,17.356000900268555,0.0
feature.Area.og1.CWHvm_HW_BA_M,4,40,10.0,0.0,10000.0,1.0,1.0,21.12700080871582,0.0
feature.Area.og1.CWHvm_HW_BA_M,5,50,10.0,0.0,10000.0,1.0,1.0,17.195999145507812,0.0
feature.Area.og1.CWHvm_HW_BA_M,6,60,10.0,0.0,10000.0,1.0,1.0,20.225000381469727,0.0
feature.Area.og1.CWHvm_HW_BA_M,7,70,10.0,0.0,10000.0,1.0,1.0,18.868000030517578,0.0
feature.Area.og1.CWHvm_HW_BA_M,8,80,10.0,0.0,10000.0,1.0,1.0,1.1139999628067017,0.0
feature.Area.og1.CWHvm_HW_BA_M,9,90,10.0,0.0,10000.0,1.0,1.0,1.1139999628067017,0.0
feature.Area.og1.CWHvm_HW_BA_M,10,100,10.0,0.0,10000.0,1.0,1.0,1.1139999628067017,0.0
feature.Area.og1.CWHvm_HW_BA_M,11,110,10.0,0.0,10000.0,1.0,1.0,1.1139999628067017,0.0
feature.Area.og1.CWHvm_HW_BA_M,12,120,10.0,0.0,10000.0,1.0,1.0,1.1139999628067017,0.0
feature.Area.og1.CWHvm_HW_BA_M,13,130,10.0,0.0,10000.0,1.0,1.0,1.1139999628067017,0.0
feature.Area.og1.CWHvm_HW_BA_M,14,140,10.0,0.0,10000.0,1.0,1.0,1.1139999628067017,0.0
feature.Area.og1.CWHvm_HW_BA_M,15,150,10.0,0.0,10000.0,1.0,1.0,1.1139999628067017,0.0
feature.Area.og1.CWHvm_HW_BA_M,16,160,10.0,0.0,10000.0,1.0,1.0,2.0209999084472656,0.0
feature.Area.og1.CWHvm_HW_BA_M,17,170,10.0,0.0,10000.0,1.0,1.0,3.2179999351501465,0.0
feature.Area.og1.CWHvm_HW_BA_M,18,180,10.0,0.0,10000.0,1.0,1.0,4.415999889373779,0.0
feature.Area.og1.CWHvm_HW_BA_M,19,190,10.0,0.0,10000.0,1.0,1.0,8.276000022888184,0.0
feature.Area.og1.CWHvm_HW_BA_M,20,200,10.0,0.0,10000.0,1.0,1.0,6.736000061035156,0.0
feature.Area.og1.CWHvm_HW_BA_M,21,210,10.0,0.0,10000.0,1.0,1.0,9.694999694824219,0.0
feature.Area.og1.CWHvm_HW_BA_M,22,220,10.0,0.0,10000.0,1.0,1.0,12.654000282287598,0.0
feature.Area.og1.CWHvm_HW_BA_M,23,230,10.0,0.0,10000.0,1.0,1.0,15.61299991607666,0.0
feature.Area.og1.CWHvm_HW_BA_M,24,240,10.0,0.0,10000.0,1.0,1.0,18.57200050354004,0.0
feature.Area.og1.CWHvm_HW_BA_M,25,250,10.0,0.0,10000.0,1.0,1.0,18.868000030517578,0.0
feature.Area.og1.CWHvm_HW_BA_M,26,260,10.0,0.0,10000.0,1.0,1.0,18.868000030517578,0.0
feature.Area.og1.CWHvm_HW_BA_M,27,270,10.0,0.0,10000.0,1.0,1.0,18.868000030517578,0.0
feature.Area.og1.CWHvm_HW_BA_M,28,280,10.0,0.0,10000.0,1.0,1.0,18.868000030517578,0.0
feature.Area.og1.CWHvm_HW_BA_M,29,290,10.0,0.0,10000.0,1.0,1.0,18.868000030517578,0.0
feature.Area.og1.CWHvm_HW_BA_M,30,300,10.0,0.0,10000.0,1.0,1.0,18.868000030517578,0.0
