TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Area.og2.CWHvm_HW_FDC_L,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Area.og2.CWHvm_HW_FDC_L,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Area.og2.CWHvm_HW_FDC_L,2,20,10.0,0.0,10000.0,1.0,1.0,3.890000104904175,0.0
feature.Area.og2.CWHvm_HW_FDC_L,3,30,10.0,0.0,10000.0,1.0,1.0,3.890000104904175,0.0
feature.Area.og2.CWHvm_HW_FDC_L,4,40,10.0,0.0,10000.0,1.0,1.0,3.890000104904175,0.0
feature.Area.og2.CWHvm_HW_FDC_L,5,50,10.0,0.0,10000.0,1.0,1.0,3.890000104904175,0.0
feature.Area.og2.CWHvm_HW_FDC_L,6,60,10.0,0.0,10000.0,1.0,1.0,3.890000104904175,0.0
feature.Area.og2.CWHvm_HW_FDC_L,7,70,10.0,0.0,10000.0,1.0,1.0,3.890000104904175,0.0
feature.Area.og2.CWHvm_HW_FDC_L,8,80,10.0,0.0,10000.0,1.0,1.0,3.890000104904175,0.0
feature.Area.og2.CWHvm_HW_FDC_L,9,90,10.0,0.0,10000.0,1.0,1.0,3.890000104904175,0.0
feature.Area.og2.CWHvm_HW_FDC_L,10,100,10.0,0.0,10000.0,1.0,1.0,10.293000221252441,0.0
feature.Area.og2.CWHvm_HW_FDC_L,11,110,10.0,0.0,10000.0,1.0,1.0,10.293000221252441,0.0
feature.Area.og2.CWHvm_HW_FDC_L,12,120,10.0,0.0,10000.0,1.0,1.0,10.293000221252441,0.0
feature.Area.og2.CWHvm_HW_FDC_L,13,130,10.0,0.0,10000.0,1.0,1.0,27.091999053955078,0.0
feature.Area.og2.CWHvm_HW_FDC_L,14,140,10.0,0.0,10000.0,1.0,1.0,20.68899917602539,0.0
feature.Area.og2.CWHvm_HW_FDC_L,15,150,10.0,0.0,10000.0,1.0,1.0,27.091999053955078,0.0
feature.Area.og2.CWHvm_HW_FDC_L,16,160,10.0,0.0,10000.0,1.0,1.0,27.091999053955078,0.0
feature.Area.og2.CWHvm_HW_FDC_L,17,170,10.0,0.0,10000.0,1.0,1.0,27.091999053955078,0.0
feature.Area.og2.CWHvm_HW_FDC_L,18,180,10.0,0.0,10000.0,1.0,1.0,36.856998443603516,0.0
feature.Area.og2.CWHvm_HW_FDC_L,19,190,10.0,0.0,10000.0,1.0,1.0,36.970001220703125,0.0
feature.Area.og2.CWHvm_HW_FDC_L,20,200,10.0,0.0,10000.0,1.0,1.0,59.41400146484375,0.0
feature.Area.og2.CWHvm_HW_FDC_L,21,210,10.0,0.0,10000.0,1.0,1.0,61.87300109863281,0.0
feature.Area.og2.CWHvm_HW_FDC_L,22,220,10.0,0.0,10000.0,1.0,1.0,61.87300109863281,0.0
feature.Area.og2.CWHvm_HW_FDC_L,23,230,10.0,0.0,10000.0,1.0,1.0,56.57400131225586,0.0
feature.Area.og2.CWHvm_HW_FDC_L,24,240,10.0,0.0,10000.0,1.0,1.0,56.57400131225586,0.0
feature.Area.og2.CWHvm_HW_FDC_L,25,250,10.0,0.0,10000.0,1.0,1.0,52.683998107910156,0.0
feature.Area.og2.CWHvm_HW_FDC_L,26,260,10.0,0.0,10000.0,1.0,1.0,49.29399871826172,0.0
feature.Area.og2.CWHvm_HW_FDC_L,27,270,10.0,0.0,10000.0,1.0,1.0,49.29399871826172,0.0
feature.Area.og2.CWHvm_HW_FDC_L,28,280,10.0,0.0,10000.0,1.0,1.0,49.29399871826172,0.0
feature.Area.og2.CWHvm_HW_FDC_L,29,290,10.0,0.0,10000.0,1.0,1.0,49.29399871826172,0.0
feature.Area.og2.CWHvm_HW_FDC_L,30,300,10.0,0.0,10000.0,1.0,1.0,42.89099884033203,0.0
