TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.managed.CWHvm_FDC_HW_H,0,0,10.0,0.0,10000.0,1.0,1.0,34.21500015258789,0.0
feature.Height.managed.CWHvm_FDC_HW_H,1,10,10.0,0.0,10000.0,1.0,1.0,34.529998779296875,0.0
feature.Height.managed.CWHvm_FDC_HW_H,2,20,10.0,0.0,10000.0,1.0,1.0,37.00299835205078,0.0
feature.Height.managed.CWHvm_FDC_HW_H,3,30,10.0,0.0,10000.0,1.0,1.0,40.99100112915039,0.0
feature.Height.managed.CWHvm_FDC_HW_H,4,40,10.0,0.0,10000.0,1.0,1.0,44.5,0.0
feature.Height.managed.CWHvm_FDC_HW_H,5,50,10.0,0.0,10000.0,1.0,1.0,47.12799835205078,0.0
feature.Height.managed.CWHvm_FDC_HW_H,6,60,10.0,0.0,10000.0,1.0,1.0,34.849998474121094,0.0
feature.Height.managed.CWHvm_FDC_HW_H,7,70,10.0,0.0,10000.0,1.0,1.0,36.766998291015625,0.0
feature.Height.managed.CWHvm_FDC_HW_H,8,80,10.0,0.0,10000.0,1.0,1.0,41.000999450683594,0.0
feature.Height.managed.CWHvm_FDC_HW_H,9,90,10.0,0.0,10000.0,1.0,1.0,42.99800109863281,0.0
feature.Height.managed.CWHvm_FDC_HW_H,10,100,10.0,0.0,10000.0,1.0,1.0,46.395999908447266,0.0
feature.Height.managed.CWHvm_FDC_HW_H,11,110,10.0,0.0,10000.0,1.0,1.0,49.327999114990234,0.0
feature.Height.managed.CWHvm_FDC_HW_H,12,120,10.0,0.0,10000.0,1.0,1.0,46.367000579833984,0.0
feature.Height.managed.CWHvm_FDC_HW_H,13,130,10.0,0.0,10000.0,1.0,1.0,48.89099884033203,0.0
feature.Height.managed.CWHvm_FDC_HW_H,14,140,10.0,0.0,10000.0,1.0,1.0,50.064998626708984,0.0
feature.Height.managed.CWHvm_FDC_HW_H,15,150,10.0,0.0,10000.0,1.0,1.0,52.50299835205078,0.0
feature.Height.managed.CWHvm_FDC_HW_H,16,160,10.0,0.0,10000.0,1.0,1.0,52.891998291015625,0.0
feature.Height.managed.CWHvm_FDC_HW_H,17,170,10.0,0.0,10000.0,1.0,1.0,54.9379997253418,0.0
feature.Height.managed.CWHvm_FDC_HW_H,18,180,10.0,0.0,10000.0,1.0,1.0,51.481998443603516,0.0
feature.Height.managed.CWHvm_FDC_HW_H,19,190,10.0,0.0,10000.0,1.0,1.0,47.862998962402344,0.0
feature.Height.managed.CWHvm_FDC_HW_H,20,200,10.0,0.0,10000.0,1.0,1.0,50.48699951171875,0.0
feature.Height.managed.CWHvm_FDC_HW_H,21,210,10.0,0.0,10000.0,1.0,1.0,51.83599853515625,0.0
feature.Height.managed.CWHvm_FDC_HW_H,22,220,10.0,0.0,10000.0,1.0,1.0,45.85499954223633,0.0
feature.Height.managed.CWHvm_FDC_HW_H,23,230,10.0,0.0,10000.0,1.0,1.0,48.612998962402344,0.0
feature.Height.managed.CWHvm_FDC_HW_H,24,240,10.0,0.0,10000.0,1.0,1.0,45.84000015258789,0.0
feature.Height.managed.CWHvm_FDC_HW_H,25,250,10.0,0.0,10000.0,1.0,1.0,47.60100173950195,0.0
feature.Height.managed.CWHvm_FDC_HW_H,26,260,10.0,0.0,10000.0,1.0,1.0,50.72800064086914,0.0
feature.Height.managed.CWHvm_FDC_HW_H,27,270,10.0,0.0,10000.0,1.0,1.0,53.50400161743164,0.0
feature.Height.managed.CWHvm_FDC_HW_H,28,280,10.0,0.0,10000.0,1.0,1.0,55.880001068115234,0.0
feature.Height.managed.CWHvm_FDC_HW_H,29,290,10.0,0.0,10000.0,1.0,1.0,53.26300048828125,0.0
feature.Height.managed.CWHvm_FDC_HW_H,30,300,10.0,0.0,10000.0,1.0,1.0,49.81399917602539,0.0
