TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.managed.CWHvm_HW_FDC_L,0,0,10.0,0.0,10000.0,1.0,1.0,30.64699935913086,0.0
feature.Height.managed.CWHvm_HW_FDC_L,1,10,10.0,0.0,10000.0,1.0,1.0,28.697999954223633,0.0
feature.Height.managed.CWHvm_HW_FDC_L,2,20,10.0,0.0,10000.0,1.0,1.0,30.493999481201172,0.0
feature.Height.managed.CWHvm_HW_FDC_L,3,30,10.0,0.0,10000.0,1.0,1.0,31.011999130249023,0.0
feature.Height.managed.CWHvm_HW_FDC_L,4,40,10.0,0.0,10000.0,1.0,1.0,31.259000778198242,0.0
feature.Height.managed.CWHvm_HW_FDC_L,5,50,10.0,0.0,10000.0,1.0,1.0,28.666000366210938,0.0
feature.Height.managed.CWHvm_HW_FDC_L,6,60,10.0,0.0,10000.0,1.0,1.0,26.549999237060547,0.0
feature.Height.managed.CWHvm_HW_FDC_L,7,70,10.0,0.0,10000.0,1.0,1.0,28.746000289916992,0.0
feature.Height.managed.CWHvm_HW_FDC_L,8,80,10.0,0.0,10000.0,1.0,1.0,31.44099998474121,0.0
feature.Height.managed.CWHvm_HW_FDC_L,9,90,10.0,0.0,10000.0,1.0,1.0,32.93199920654297,0.0
feature.Height.managed.CWHvm_HW_FDC_L,10,100,10.0,0.0,10000.0,1.0,1.0,35.11000061035156,0.0
feature.Height.managed.CWHvm_HW_FDC_L,11,110,10.0,0.0,10000.0,1.0,1.0,36.027000427246094,0.0
feature.Height.managed.CWHvm_HW_FDC_L,12,120,10.0,0.0,10000.0,1.0,1.0,31.73699951171875,0.0
feature.Height.managed.CWHvm_HW_FDC_L,13,130,10.0,0.0,10000.0,1.0,1.0,32.4900016784668,0.0
feature.Height.managed.CWHvm_HW_FDC_L,14,140,10.0,0.0,10000.0,1.0,1.0,26.687000274658203,0.0
feature.Height.managed.CWHvm_HW_FDC_L,15,150,10.0,0.0,10000.0,1.0,1.0,29.360000610351562,0.0
feature.Height.managed.CWHvm_HW_FDC_L,16,160,10.0,0.0,10000.0,1.0,1.0,31.590999603271484,0.0
feature.Height.managed.CWHvm_HW_FDC_L,17,170,10.0,0.0,10000.0,1.0,1.0,34.0369987487793,0.0
feature.Height.managed.CWHvm_HW_FDC_L,18,180,10.0,0.0,10000.0,1.0,1.0,36.20399856567383,0.0
feature.Height.managed.CWHvm_HW_FDC_L,19,190,10.0,0.0,10000.0,1.0,1.0,38.09700012207031,0.0
feature.Height.managed.CWHvm_HW_FDC_L,20,200,10.0,0.0,10000.0,1.0,1.0,36.224998474121094,0.0
feature.Height.managed.CWHvm_HW_FDC_L,21,210,10.0,0.0,10000.0,1.0,1.0,36.117000579833984,0.0
feature.Height.managed.CWHvm_HW_FDC_L,22,220,10.0,0.0,10000.0,1.0,1.0,37.72200012207031,0.0
feature.Height.managed.CWHvm_HW_FDC_L,23,230,10.0,0.0,10000.0,1.0,1.0,36.584999084472656,0.0
feature.Height.managed.CWHvm_HW_FDC_L,24,240,10.0,0.0,10000.0,1.0,1.0,31.20400047302246,0.0
feature.Height.managed.CWHvm_HW_FDC_L,25,250,10.0,0.0,10000.0,1.0,1.0,31.44099998474121,0.0
feature.Height.managed.CWHvm_HW_FDC_L,26,260,10.0,0.0,10000.0,1.0,1.0,32.292999267578125,0.0
feature.Height.managed.CWHvm_HW_FDC_L,27,270,10.0,0.0,10000.0,1.0,1.0,34.606998443603516,0.0
feature.Height.managed.CWHvm_HW_FDC_L,28,280,10.0,0.0,10000.0,1.0,1.0,35.7140007019043,0.0
feature.Height.managed.CWHvm_HW_FDC_L,29,290,10.0,0.0,10000.0,1.0,1.0,37.650001525878906,0.0
feature.Height.managed.CWHvm_HW_FDC_L,30,300,10.0,0.0,10000.0,1.0,1.0,30.93600082397461,0.0
