TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.unmanaged.CWHvm_HW_BA_M,0,0,10.0,0.0,10000.0,1.0,1.0,70.97100067138672,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,1,10,10.0,0.0,10000.0,1.0,1.0,75.76300048828125,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,2,20,10.0,0.0,10000.0,1.0,1.0,80.51200103759766,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,3,30,10.0,0.0,10000.0,1.0,1.0,85.29100036621094,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,4,40,10.0,0.0,10000.0,1.0,1.0,90.08799743652344,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,5,50,10.0,0.0,10000.0,1.0,1.0,94.87000274658203,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,6,60,10.0,0.0,10000.0,1.0,1.0,99.66100311279297,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,7,70,10.0,0.0,10000.0,1.0,1.0,104.36000061035156,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,8,80,10.0,0.0,10000.0,1.0,1.0,109.0739974975586,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,9,90,10.0,0.0,10000.0,1.0,1.0,113.80500030517578,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,10,100,10.0,0.0,10000.0,1.0,1.0,117.1989974975586,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,11,110,10.0,0.0,10000.0,1.0,1.0,120.27400207519531,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,12,120,10.0,0.0,10000.0,1.0,1.0,123.33200073242188,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,13,130,10.0,0.0,10000.0,1.0,1.0,126.40399932861328,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,14,140,10.0,0.0,10000.0,1.0,1.0,129.48800659179688,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,15,150,10.0,0.0,10000.0,1.0,1.0,132.5540008544922,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,16,160,10.0,0.0,10000.0,1.0,1.0,135.6300048828125,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,17,170,10.0,0.0,10000.0,1.0,1.0,138.68299865722656,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,18,180,10.0,0.0,10000.0,1.0,1.0,140.73500061035156,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,19,190,10.0,0.0,10000.0,1.0,1.0,142.53700256347656,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,20,200,10.0,0.0,10000.0,1.0,1.0,142.8979949951172,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,21,210,10.0,0.0,10000.0,1.0,1.0,142.8979949951172,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,22,220,10.0,0.0,10000.0,1.0,1.0,142.8979949951172,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,23,230,10.0,0.0,10000.0,1.0,1.0,142.8979949951172,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,24,240,10.0,0.0,10000.0,1.0,1.0,142.8979949951172,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,25,250,10.0,0.0,10000.0,1.0,1.0,142.8979949951172,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,26,260,10.0,0.0,10000.0,1.0,1.0,142.8979949951172,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,27,270,10.0,0.0,10000.0,1.0,1.0,142.8979949951172,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,28,280,10.0,0.0,10000.0,1.0,1.0,142.8979949951172,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,29,290,10.0,0.0,10000.0,1.0,1.0,142.8979949951172,0.0
feature.Height.unmanaged.CWHvm_HW_BA_M,30,300,10.0,0.0,10000.0,1.0,1.0,142.8979949951172,0.0
