TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.unmanaged.CWHvm_HW_FDC_L,0,0,10.0,0.0,10000.0,1.0,1.0,35.5989990234375,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,1,10,10.0,0.0,10000.0,1.0,1.0,40.387001037597656,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,2,20,10.0,0.0,10000.0,1.0,1.0,45.16400146484375,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,3,30,10.0,0.0,10000.0,1.0,1.0,49.93299865722656,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,4,40,10.0,0.0,10000.0,1.0,1.0,54.724998474121094,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,5,50,10.0,0.0,10000.0,1.0,1.0,59.5,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,6,60,10.0,0.0,10000.0,1.0,1.0,64.28700256347656,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,7,70,10.0,0.0,10000.0,1.0,1.0,69.06500244140625,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,8,80,10.0,0.0,10000.0,1.0,1.0,73.83300018310547,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,9,90,10.0,0.0,10000.0,1.0,1.0,78.6259994506836,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,10,100,10.0,0.0,10000.0,1.0,1.0,83.4000015258789,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,11,110,10.0,0.0,10000.0,1.0,1.0,88.18699645996094,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,12,120,10.0,0.0,10000.0,1.0,1.0,92.96499633789062,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,13,130,10.0,0.0,10000.0,1.0,1.0,97.73500061035156,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,14,140,10.0,0.0,10000.0,1.0,1.0,102.5250015258789,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,15,150,10.0,0.0,10000.0,1.0,1.0,107.30000305175781,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,16,160,10.0,0.0,10000.0,1.0,1.0,112.08699798583984,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,17,170,10.0,0.0,10000.0,1.0,1.0,116.86100006103516,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,18,180,10.0,0.0,10000.0,1.0,1.0,120.62100219726562,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,19,190,10.0,0.0,10000.0,1.0,1.0,124.15399932861328,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,20,200,10.0,0.0,10000.0,1.0,1.0,127.68800354003906,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,21,210,10.0,0.0,10000.0,1.0,1.0,131.2270050048828,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,22,220,10.0,0.0,10000.0,1.0,1.0,134.7449951171875,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,23,230,10.0,0.0,10000.0,1.0,1.0,137.8560028076172,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,24,240,10.0,0.0,10000.0,1.0,1.0,140.8350067138672,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,25,250,10.0,0.0,10000.0,1.0,1.0,142.5989990234375,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,26,260,10.0,0.0,10000.0,1.0,1.0,142.89199829101562,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,27,270,10.0,0.0,10000.0,1.0,1.0,142.89199829101562,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,28,280,10.0,0.0,10000.0,1.0,1.0,142.89199829101562,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,29,290,10.0,0.0,10000.0,1.0,1.0,142.89199829101562,0.0
feature.Height.unmanaged.CWHvm_HW_FDC_L,30,300,10.0,0.0,10000.0,1.0,1.0,142.89199829101562,0.0
