TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.unmanaged.CWHvm_HW_SS_M,0,0,10.0,0.0,10000.0,1.0,1.0,36.70500183105469,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,1,10,10.0,0.0,10000.0,1.0,1.0,42.37799835205078,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,2,20,10.0,0.0,10000.0,1.0,1.0,48.007999420166016,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,3,30,10.0,0.0,10000.0,1.0,1.0,53.678001403808594,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,4,40,10.0,0.0,10000.0,1.0,1.0,59.37099838256836,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,5,50,10.0,0.0,10000.0,1.0,1.0,65.00399780273438,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,6,60,10.0,0.0,10000.0,1.0,1.0,70.6780014038086,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,7,70,10.0,0.0,10000.0,1.0,1.0,76.30799865722656,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,8,80,10.0,0.0,10000.0,1.0,1.0,81.97799682617188,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,9,90,10.0,0.0,10000.0,1.0,1.0,87.6709976196289,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,10,100,10.0,0.0,10000.0,1.0,1.0,93.30500030517578,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,11,110,10.0,0.0,10000.0,1.0,1.0,98.97799682617188,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,12,120,10.0,0.0,10000.0,1.0,1.0,104.60800170898438,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,13,130,10.0,0.0,10000.0,1.0,1.0,110.27799987792969,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,14,140,10.0,0.0,10000.0,1.0,1.0,115.97000122070312,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,15,150,10.0,0.0,10000.0,1.0,1.0,121.6050033569336,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,16,160,10.0,0.0,10000.0,1.0,1.0,127.2770004272461,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,17,170,10.0,0.0,10000.0,1.0,1.0,132.9080047607422,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,18,180,10.0,0.0,10000.0,1.0,1.0,138.5780029296875,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,19,190,10.0,0.0,10000.0,1.0,1.0,144.27099609375,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,20,200,10.0,0.0,10000.0,1.0,1.0,149.9040069580078,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,21,210,10.0,0.0,10000.0,1.0,1.0,155.5780029296875,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,22,220,10.0,0.0,10000.0,1.0,1.0,161.20899963378906,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,23,230,10.0,0.0,10000.0,1.0,1.0,166.85699462890625,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,24,240,10.0,0.0,10000.0,1.0,1.0,168.4720001220703,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,25,250,10.0,0.0,10000.0,1.0,1.0,169.07699584960938,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,26,260,10.0,0.0,10000.0,1.0,1.0,169.19900512695312,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,27,270,10.0,0.0,10000.0,1.0,1.0,169.19900512695312,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,28,280,10.0,0.0,10000.0,1.0,1.0,169.19900512695312,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,29,290,10.0,0.0,10000.0,1.0,1.0,169.19900512695312,0.0
feature.Height.unmanaged.CWHvm_HW_SS_M,30,300,10.0,0.0,10000.0,1.0,1.0,169.19900512695312,0.0
