TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.managed.CWHvm_FDC_HW_L,0,0,10.0,0.0,10000.0,1.0,1.0,22.770000457763672,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,1,10,10.0,0.0,10000.0,1.0,1.0,24.211000442504883,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,2,20,10.0,0.0,10000.0,1.0,1.0,25.325000762939453,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,3,30,10.0,0.0,10000.0,1.0,1.0,23.535999298095703,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,4,40,10.0,0.0,10000.0,1.0,1.0,24.215999603271484,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,5,50,10.0,0.0,10000.0,1.0,1.0,22.722999572753906,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,6,60,10.0,0.0,10000.0,1.0,1.0,22.840999603271484,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,7,70,10.0,0.0,10000.0,1.0,1.0,23.874000549316406,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,8,80,10.0,0.0,10000.0,1.0,1.0,25.040000915527344,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,9,90,10.0,0.0,10000.0,1.0,1.0,26.03700065612793,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,10,100,10.0,0.0,10000.0,1.0,1.0,26.097000122070312,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,11,110,10.0,0.0,10000.0,1.0,1.0,26.611000061035156,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,12,120,10.0,0.0,10000.0,1.0,1.0,25.447999954223633,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,13,130,10.0,0.0,10000.0,1.0,1.0,25.840999603271484,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,14,140,10.0,0.0,10000.0,1.0,1.0,26.725000381469727,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,15,150,10.0,0.0,10000.0,1.0,1.0,23.163999557495117,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,16,160,10.0,0.0,10000.0,1.0,1.0,22.613000869750977,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,17,170,10.0,0.0,10000.0,1.0,1.0,24.382999420166016,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,18,180,10.0,0.0,10000.0,1.0,1.0,25.6560001373291,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,19,190,10.0,0.0,10000.0,1.0,1.0,26.541000366210938,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,20,200,10.0,0.0,10000.0,1.0,1.0,27.093000411987305,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,21,210,10.0,0.0,10000.0,1.0,1.0,10.822999954223633,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,22,220,10.0,0.0,10000.0,1.0,1.0,11.300999641418457,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,23,230,10.0,0.0,10000.0,1.0,1.0,14.437999725341797,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,24,240,10.0,0.0,10000.0,1.0,1.0,17.867000579833984,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,25,250,10.0,0.0,10000.0,1.0,1.0,18.815000534057617,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,26,260,10.0,0.0,10000.0,1.0,1.0,18.108999252319336,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,27,270,10.0,0.0,10000.0,1.0,1.0,19.235000610351562,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,28,280,10.0,0.0,10000.0,1.0,1.0,21.316999435424805,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,29,290,10.0,0.0,10000.0,1.0,1.0,22.719999313354492,0.0
feature.QMD.managed.CWHvm_FDC_HW_L,30,300,10.0,0.0,10000.0,1.0,1.0,24.229999542236328,0.0
