TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.managed.CWHvm_FDC_HW_M,0,0,10.0,0.0,10000.0,1.0,1.0,27.836000442504883,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,1,10,10.0,0.0,10000.0,1.0,1.0,22.996000289916992,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,2,20,10.0,0.0,10000.0,1.0,1.0,25.01799964904785,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,3,30,10.0,0.0,10000.0,1.0,1.0,20.104000091552734,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,4,40,10.0,0.0,10000.0,1.0,1.0,17.559999465942383,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,5,50,10.0,0.0,10000.0,1.0,1.0,20.02400016784668,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,6,60,10.0,0.0,10000.0,1.0,1.0,24.71500015258789,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,7,70,10.0,0.0,10000.0,1.0,1.0,26.482999801635742,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,8,80,10.0,0.0,10000.0,1.0,1.0,22.156999588012695,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,9,90,10.0,0.0,10000.0,1.0,1.0,12.758999824523926,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,10,100,10.0,0.0,10000.0,1.0,1.0,16.191999435424805,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,11,110,10.0,0.0,10000.0,1.0,1.0,17.089000701904297,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,12,120,10.0,0.0,10000.0,1.0,1.0,22.26300048828125,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,13,130,10.0,0.0,10000.0,1.0,1.0,24.479000091552734,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,14,140,10.0,0.0,10000.0,1.0,1.0,27.152000427246094,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,15,150,10.0,0.0,10000.0,1.0,1.0,29.263999938964844,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,16,160,10.0,0.0,10000.0,1.0,1.0,22.139999389648438,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,17,170,10.0,0.0,10000.0,1.0,1.0,14.25100040435791,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,18,180,10.0,0.0,10000.0,1.0,1.0,17.305999755859375,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,19,190,10.0,0.0,10000.0,1.0,1.0,19.267000198364258,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,20,200,10.0,0.0,10000.0,1.0,1.0,23.679000854492188,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,21,210,10.0,0.0,10000.0,1.0,1.0,27.00200080871582,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,22,220,10.0,0.0,10000.0,1.0,1.0,25.083999633789062,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,23,230,10.0,0.0,10000.0,1.0,1.0,10.649999618530273,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,24,240,10.0,0.0,10000.0,1.0,1.0,10.430999755859375,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,25,250,10.0,0.0,10000.0,1.0,1.0,17.382999420166016,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,26,260,10.0,0.0,10000.0,1.0,1.0,23.402000427246094,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,27,270,10.0,0.0,10000.0,1.0,1.0,23.26799964904785,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,28,280,10.0,0.0,10000.0,1.0,1.0,26.031999588012695,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,29,290,10.0,0.0,10000.0,1.0,1.0,26.645999908447266,0.0
feature.QMD.managed.CWHvm_FDC_HW_M,30,300,10.0,0.0,10000.0,1.0,1.0,23.461999893188477,0.0
