TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.managed.CWHvm_HW_CW_M,0,0,10.0,0.0,10000.0,1.0,1.0,28.45199966430664,0.0
feature.QMD.managed.CWHvm_HW_CW_M,1,10,10.0,0.0,10000.0,1.0,1.0,25.7189998626709,0.0
feature.QMD.managed.CWHvm_HW_CW_M,2,20,10.0,0.0,10000.0,1.0,1.0,25.023000717163086,0.0
feature.QMD.managed.CWHvm_HW_CW_M,3,30,10.0,0.0,10000.0,1.0,1.0,24.208999633789062,0.0
feature.QMD.managed.CWHvm_HW_CW_M,4,40,10.0,0.0,10000.0,1.0,1.0,22.56800079345703,0.0
feature.QMD.managed.CWHvm_HW_CW_M,5,50,10.0,0.0,10000.0,1.0,1.0,23.341999053955078,0.0
feature.QMD.managed.CWHvm_HW_CW_M,6,60,10.0,0.0,10000.0,1.0,1.0,24.535999298095703,0.0
feature.QMD.managed.CWHvm_HW_CW_M,7,70,10.0,0.0,10000.0,1.0,1.0,22.809999465942383,0.0
feature.QMD.managed.CWHvm_HW_CW_M,8,80,10.0,0.0,10000.0,1.0,1.0,24.082000732421875,0.0
feature.QMD.managed.CWHvm_HW_CW_M,9,90,10.0,0.0,10000.0,1.0,1.0,25.231000900268555,0.0
feature.QMD.managed.CWHvm_HW_CW_M,10,100,10.0,0.0,10000.0,1.0,1.0,26.660999298095703,0.0
feature.QMD.managed.CWHvm_HW_CW_M,11,110,10.0,0.0,10000.0,1.0,1.0,27.773000717163086,0.0
feature.QMD.managed.CWHvm_HW_CW_M,12,120,10.0,0.0,10000.0,1.0,1.0,25.23200035095215,0.0
feature.QMD.managed.CWHvm_HW_CW_M,13,130,10.0,0.0,10000.0,1.0,1.0,25.68400001525879,0.0
feature.QMD.managed.CWHvm_HW_CW_M,14,140,10.0,0.0,10000.0,1.0,1.0,18.788000106811523,0.0
feature.QMD.managed.CWHvm_HW_CW_M,15,150,10.0,0.0,10000.0,1.0,1.0,16.155000686645508,0.0
feature.QMD.managed.CWHvm_HW_CW_M,16,160,10.0,0.0,10000.0,1.0,1.0,16.479000091552734,0.0
feature.QMD.managed.CWHvm_HW_CW_M,17,170,10.0,0.0,10000.0,1.0,1.0,19.54199981689453,0.0
feature.QMD.managed.CWHvm_HW_CW_M,18,180,10.0,0.0,10000.0,1.0,1.0,22.229999542236328,0.0
feature.QMD.managed.CWHvm_HW_CW_M,19,190,10.0,0.0,10000.0,1.0,1.0,24.33099937438965,0.0
feature.QMD.managed.CWHvm_HW_CW_M,20,200,10.0,0.0,10000.0,1.0,1.0,25.709999084472656,0.0
feature.QMD.managed.CWHvm_HW_CW_M,21,210,10.0,0.0,10000.0,1.0,1.0,26.827999114990234,0.0
feature.QMD.managed.CWHvm_HW_CW_M,22,220,10.0,0.0,10000.0,1.0,1.0,27.70199966430664,0.0
feature.QMD.managed.CWHvm_HW_CW_M,23,230,10.0,0.0,10000.0,1.0,1.0,28.375999450683594,0.0
feature.QMD.managed.CWHvm_HW_CW_M,24,240,10.0,0.0,10000.0,1.0,1.0,27.763999938964844,0.0
feature.QMD.managed.CWHvm_HW_CW_M,25,250,10.0,0.0,10000.0,1.0,1.0,21.7549991607666,0.0
feature.QMD.managed.CWHvm_HW_CW_M,26,260,10.0,0.0,10000.0,1.0,1.0,20.996999740600586,0.0
feature.QMD.managed.CWHvm_HW_CW_M,27,270,10.0,0.0,10000.0,1.0,1.0,22.618999481201172,0.0
feature.QMD.managed.CWHvm_HW_CW_M,28,280,10.0,0.0,10000.0,1.0,1.0,14.725000381469727,0.0
feature.QMD.managed.CWHvm_HW_CW_M,29,290,10.0,0.0,10000.0,1.0,1.0,11.39900016784668,0.0
feature.QMD.managed.CWHvm_HW_CW_M,30,300,10.0,0.0,10000.0,1.0,1.0,13.579999923706055,0.0
