TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.managed.CWHvm_HW_SS_M,0,0,10.0,0.0,10000.0,1.0,1.0,30.259000778198242,0.0
feature.QMD.managed.CWHvm_HW_SS_M,1,10,10.0,0.0,10000.0,1.0,1.0,5.770999908447266,0.0
feature.QMD.managed.CWHvm_HW_SS_M,2,20,10.0,0.0,10000.0,1.0,1.0,8.317000389099121,0.0
feature.QMD.managed.CWHvm_HW_SS_M,3,30,10.0,0.0,10000.0,1.0,1.0,14.506999969482422,0.0
feature.QMD.managed.CWHvm_HW_SS_M,4,40,10.0,0.0,10000.0,1.0,1.0,16.84000015258789,0.0
feature.QMD.managed.CWHvm_HW_SS_M,5,50,10.0,0.0,10000.0,1.0,1.0,21.243999481201172,0.0
feature.QMD.managed.CWHvm_HW_SS_M,6,60,10.0,0.0,10000.0,1.0,1.0,25.7549991607666,0.0
feature.QMD.managed.CWHvm_HW_SS_M,7,70,10.0,0.0,10000.0,1.0,1.0,28.8439998626709,0.0
feature.QMD.managed.CWHvm_HW_SS_M,8,80,10.0,0.0,10000.0,1.0,1.0,30.930999755859375,0.0
feature.QMD.managed.CWHvm_HW_SS_M,9,90,10.0,0.0,10000.0,1.0,1.0,32.38199996948242,0.0
feature.QMD.managed.CWHvm_HW_SS_M,10,100,10.0,0.0,10000.0,1.0,1.0,5.877999782562256,0.0
feature.QMD.managed.CWHvm_HW_SS_M,11,110,10.0,0.0,10000.0,1.0,1.0,9.73799991607666,0.0
feature.QMD.managed.CWHvm_HW_SS_M,12,120,10.0,0.0,10000.0,1.0,1.0,14.020000457763672,0.0
feature.QMD.managed.CWHvm_HW_SS_M,13,130,10.0,0.0,10000.0,1.0,1.0,18.88599967956543,0.0
feature.QMD.managed.CWHvm_HW_SS_M,14,140,10.0,0.0,10000.0,1.0,1.0,23.81599998474121,0.0
feature.QMD.managed.CWHvm_HW_SS_M,15,150,10.0,0.0,10000.0,1.0,1.0,27.170000076293945,0.0
feature.QMD.managed.CWHvm_HW_SS_M,16,160,10.0,0.0,10000.0,1.0,1.0,29.78700065612793,0.0
feature.QMD.managed.CWHvm_HW_SS_M,17,170,10.0,0.0,10000.0,1.0,1.0,31.655000686645508,0.0
feature.QMD.managed.CWHvm_HW_SS_M,18,180,10.0,0.0,10000.0,1.0,1.0,5.761000156402588,0.0
feature.QMD.managed.CWHvm_HW_SS_M,19,190,10.0,0.0,10000.0,1.0,1.0,8.76099967956543,0.0
feature.QMD.managed.CWHvm_HW_SS_M,20,200,10.0,0.0,10000.0,1.0,1.0,11.888999938964844,0.0
feature.QMD.managed.CWHvm_HW_SS_M,21,210,10.0,0.0,10000.0,1.0,1.0,17.684999465942383,0.0
feature.QMD.managed.CWHvm_HW_SS_M,22,220,10.0,0.0,10000.0,1.0,1.0,22.66200065612793,0.0
feature.QMD.managed.CWHvm_HW_SS_M,23,230,10.0,0.0,10000.0,1.0,1.0,26.815000534057617,0.0
feature.QMD.managed.CWHvm_HW_SS_M,24,240,10.0,0.0,10000.0,1.0,1.0,29.44499969482422,0.0
feature.QMD.managed.CWHvm_HW_SS_M,25,250,10.0,0.0,10000.0,1.0,1.0,5.295000076293945,0.0
feature.QMD.managed.CWHvm_HW_SS_M,26,260,10.0,0.0,10000.0,1.0,1.0,6.171999931335449,0.0
feature.QMD.managed.CWHvm_HW_SS_M,27,270,10.0,0.0,10000.0,1.0,1.0,11.526000022888184,0.0
feature.QMD.managed.CWHvm_HW_SS_M,28,280,10.0,0.0,10000.0,1.0,1.0,21.381000518798828,0.0
feature.QMD.managed.CWHvm_HW_SS_M,29,290,10.0,0.0,10000.0,1.0,1.0,19.30900001525879,0.0
feature.QMD.managed.CWHvm_HW_SS_M,30,300,10.0,0.0,10000.0,1.0,1.0,22.816999435424805,0.0
