TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_DR_HW_M.immature,0,0,10.0,0.0,10000.0,1.0,1.0,66.09200286865234,0.0
feature.Seral.CWHvm_DR_HW_M.immature,1,10,10.0,0.0,10000.0,1.0,1.0,66.09200286865234,0.0
feature.Seral.CWHvm_DR_HW_M.immature,2,20,10.0,0.0,10000.0,1.0,1.0,62.422000885009766,0.0
feature.Seral.CWHvm_DR_HW_M.immature,3,30,10.0,0.0,10000.0,1.0,1.0,52.04600143432617,0.0
feature.Seral.CWHvm_DR_HW_M.immature,4,40,10.0,0.0,10000.0,1.0,1.0,34.42100143432617,0.0
feature.Seral.CWHvm_DR_HW_M.immature,5,50,10.0,0.0,10000.0,1.0,1.0,7.892000198364258,0.0
feature.Seral.CWHvm_DR_HW_M.immature,6,60,10.0,0.0,10000.0,1.0,1.0,18.900999069213867,0.0
feature.Seral.CWHvm_DR_HW_M.immature,7,70,10.0,0.0,10000.0,1.0,1.0,18.900999069213867,0.0
feature.Seral.CWHvm_DR_HW_M.immature,8,80,10.0,0.0,10000.0,1.0,1.0,18.900999069213867,0.0
feature.Seral.CWHvm_DR_HW_M.immature,9,90,10.0,0.0,10000.0,1.0,1.0,18.900999069213867,0.0
feature.Seral.CWHvm_DR_HW_M.immature,10,100,10.0,0.0,10000.0,1.0,1.0,15.230999946594238,0.0
feature.Seral.CWHvm_DR_HW_M.immature,11,110,10.0,0.0,10000.0,1.0,1.0,11.008999824523926,0.0
feature.Seral.CWHvm_DR_HW_M.immature,12,120,10.0,0.0,10000.0,1.0,1.0,4.999000072479248,0.0
feature.Seral.CWHvm_DR_HW_M.immature,13,130,10.0,0.0,10000.0,1.0,1.0,11.817000389099121,0.0
feature.Seral.CWHvm_DR_HW_M.immature,14,140,10.0,0.0,10000.0,1.0,1.0,20.893999099731445,0.0
feature.Seral.CWHvm_DR_HW_M.immature,15,150,10.0,0.0,10000.0,1.0,1.0,27.04800033569336,0.0
feature.Seral.CWHvm_DR_HW_M.immature,16,160,10.0,0.0,10000.0,1.0,1.0,27.04800033569336,0.0
feature.Seral.CWHvm_DR_HW_M.immature,17,170,10.0,0.0,10000.0,1.0,1.0,27.04800033569336,0.0
feature.Seral.CWHvm_DR_HW_M.immature,18,180,10.0,0.0,10000.0,1.0,1.0,27.506000518798828,0.0
feature.Seral.CWHvm_DR_HW_M.immature,19,190,10.0,0.0,10000.0,1.0,1.0,4.210999965667725,0.0
feature.Seral.CWHvm_DR_HW_M.immature,20,200,10.0,0.0,10000.0,1.0,1.0,1.7869999408721924,0.0
feature.Seral.CWHvm_DR_HW_M.immature,21,210,10.0,0.0,10000.0,1.0,1.0,9.677000045776367,0.0
feature.Seral.CWHvm_DR_HW_M.immature,22,220,10.0,0.0,10000.0,1.0,1.0,27.503999710083008,0.0
feature.Seral.CWHvm_DR_HW_M.immature,23,230,10.0,0.0,10000.0,1.0,1.0,29.92799949645996,0.0
feature.Seral.CWHvm_DR_HW_M.immature,24,240,10.0,0.0,10000.0,1.0,1.0,29.92799949645996,0.0
feature.Seral.CWHvm_DR_HW_M.immature,25,250,10.0,0.0,10000.0,1.0,1.0,28.141000747680664,0.0
feature.Seral.CWHvm_DR_HW_M.immature,26,260,10.0,0.0,10000.0,1.0,1.0,23.142000198364258,0.0
feature.Seral.CWHvm_DR_HW_M.immature,27,270,10.0,0.0,10000.0,1.0,1.0,21.3439998626709,0.0
feature.Seral.CWHvm_DR_HW_M.immature,28,280,10.0,0.0,10000.0,1.0,1.0,4.999000072479248,0.0
feature.Seral.CWHvm_DR_HW_M.immature,29,290,10.0,0.0,10000.0,1.0,1.0,4.999000072479248,0.0
feature.Seral.CWHvm_DR_HW_M.immature,30,300,10.0,0.0,10000.0,1.0,1.0,15.375,0.0
