TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_FDC_HW_H.mature,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,1,10,10.0,0.0,10000.0,1.0,1.0,5.8979997634887695,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,2,20,10.0,0.0,10000.0,1.0,1.0,63.10100173950195,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,3,30,10.0,0.0,10000.0,1.0,1.0,156.68299865722656,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,4,40,10.0,0.0,10000.0,1.0,1.0,156.68299865722656,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,5,50,10.0,0.0,10000.0,1.0,1.0,155.3249969482422,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,6,60,10.0,0.0,10000.0,1.0,1.0,118.47100067138672,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,7,70,10.0,0.0,10000.0,1.0,1.0,112.572998046875,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,8,80,10.0,0.0,10000.0,1.0,1.0,112.572998046875,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,9,90,10.0,0.0,10000.0,1.0,1.0,112.572998046875,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,10,100,10.0,0.0,10000.0,1.0,1.0,112.572998046875,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,11,110,10.0,0.0,10000.0,1.0,1.0,112.572998046875,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,12,120,10.0,0.0,10000.0,1.0,1.0,113.93099975585938,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,13,130,10.0,0.0,10000.0,1.0,1.0,144.88699340820312,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,14,140,10.0,0.0,10000.0,1.0,1.0,125.89600372314453,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,15,150,10.0,0.0,10000.0,1.0,1.0,32.31399917602539,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,16,160,10.0,0.0,10000.0,1.0,1.0,32.31399917602539,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,17,170,10.0,0.0,10000.0,1.0,1.0,32.31399917602539,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,18,180,10.0,0.0,10000.0,1.0,1.0,32.31399917602539,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,19,190,10.0,0.0,10000.0,1.0,1.0,15.220000267028809,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,20,200,10.0,0.0,10000.0,1.0,1.0,15.220000267028809,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,21,210,10.0,0.0,10000.0,1.0,1.0,15.220000267028809,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,22,220,10.0,0.0,10000.0,1.0,1.0,15.220000267028809,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,23,230,10.0,0.0,10000.0,1.0,1.0,15.220000267028809,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,24,240,10.0,0.0,10000.0,1.0,1.0,13.862000465393066,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,27,270,10.0,0.0,10000.0,1.0,1.0,17.0939998626709,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,28,280,10.0,0.0,10000.0,1.0,1.0,17.0939998626709,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,29,290,10.0,0.0,10000.0,1.0,1.0,17.0939998626709,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,30,300,10.0,0.0,10000.0,1.0,1.0,37.94300079345703,0.0
