TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_FDC_HW_M.mature,0,0,10.0,0.0,10000.0,1.0,1.0,10.95300006866455,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,1,10,10.0,0.0,10000.0,1.0,1.0,22.94099998474121,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,2,20,10.0,0.0,10000.0,1.0,1.0,22.94099998474121,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,3,30,10.0,0.0,10000.0,1.0,1.0,48.45600128173828,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,4,40,10.0,0.0,10000.0,1.0,1.0,74.2020034790039,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,5,50,10.0,0.0,10000.0,1.0,1.0,64.94499969482422,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,6,60,10.0,0.0,10000.0,1.0,1.0,64.94499969482422,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,7,70,10.0,0.0,10000.0,1.0,1.0,57.500999450683594,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,8,80,10.0,0.0,10000.0,1.0,1.0,48.71699905395508,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,9,90,10.0,0.0,10000.0,1.0,1.0,36.875,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,10,100,10.0,0.0,10000.0,1.0,1.0,34.70600128173828,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,11,110,10.0,0.0,10000.0,1.0,1.0,34.70600128173828,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,12,120,10.0,0.0,10000.0,1.0,1.0,34.70600128173828,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,13,130,10.0,0.0,10000.0,1.0,1.0,31.975000381469727,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,14,140,10.0,0.0,10000.0,1.0,1.0,31.975000381469727,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,15,150,10.0,0.0,10000.0,1.0,1.0,33.189998626708984,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,16,160,10.0,0.0,10000.0,1.0,1.0,7.443999767303467,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,17,170,10.0,0.0,10000.0,1.0,1.0,7.443999767303467,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,18,180,10.0,0.0,10000.0,1.0,1.0,7.443999767303467,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,19,190,10.0,0.0,10000.0,1.0,1.0,7.443999767303467,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,20,200,10.0,0.0,10000.0,1.0,1.0,7.443999767303467,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,21,210,10.0,0.0,10000.0,1.0,1.0,16.701000213623047,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,22,220,10.0,0.0,10000.0,1.0,1.0,16.701000213623047,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,23,230,10.0,0.0,10000.0,1.0,1.0,16.701000213623047,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,24,240,10.0,0.0,10000.0,1.0,1.0,16.701000213623047,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,25,250,10.0,0.0,10000.0,1.0,1.0,16.701000213623047,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,26,260,10.0,0.0,10000.0,1.0,1.0,16.701000213623047,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,27,270,10.0,0.0,10000.0,1.0,1.0,9.256999969482422,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,28,280,10.0,0.0,10000.0,1.0,1.0,9.256999969482422,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,29,290,10.0,0.0,10000.0,1.0,1.0,9.256999969482422,0.0
feature.Seral.CWHvm_FDC_HW_M.mature,30,300,10.0,0.0,10000.0,1.0,1.0,31.496000289916992,0.0
