TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_FDC_L.mature,0,0,10.0,0.0,10000.0,1.0,1.0,53.327999114990234,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,1,10,10.0,0.0,10000.0,1.0,1.0,37.106998443603516,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,2,20,10.0,0.0,10000.0,1.0,1.0,34.53300094604492,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,3,30,10.0,0.0,10000.0,1.0,1.0,43.426998138427734,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,4,40,10.0,0.0,10000.0,1.0,1.0,46.62699890136719,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,5,50,10.0,0.0,10000.0,1.0,1.0,78.66699981689453,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,6,60,10.0,0.0,10000.0,1.0,1.0,70.36799621582031,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,7,70,10.0,0.0,10000.0,1.0,1.0,68.26899719238281,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,8,80,10.0,0.0,10000.0,1.0,1.0,51.470001220703125,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,9,90,10.0,0.0,10000.0,1.0,1.0,48.42399978637695,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,10,100,10.0,0.0,10000.0,1.0,1.0,42.020999908447266,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,11,110,10.0,0.0,10000.0,1.0,1.0,54.722999572753906,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,12,120,10.0,0.0,10000.0,1.0,1.0,37.35499954223633,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,13,130,10.0,0.0,10000.0,1.0,1.0,27.59000015258789,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,14,140,10.0,0.0,10000.0,1.0,1.0,27.476999282836914,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,15,150,10.0,0.0,10000.0,1.0,1.0,5.0329999923706055,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,16,160,10.0,0.0,10000.0,1.0,1.0,20.57200050354004,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,17,170,10.0,0.0,10000.0,1.0,1.0,20.57200050354004,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,18,180,10.0,0.0,10000.0,1.0,1.0,20.57200050354004,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,19,190,10.0,0.0,10000.0,1.0,1.0,23.618000030517578,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,20,200,10.0,0.0,10000.0,1.0,1.0,23.618000030517578,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,21,210,10.0,0.0,10000.0,1.0,1.0,24.562999725341797,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,22,220,10.0,0.0,10000.0,1.0,1.0,24.562999725341797,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,23,230,10.0,0.0,10000.0,1.0,1.0,29.490999221801758,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,24,240,10.0,0.0,10000.0,1.0,1.0,31.976999282836914,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,25,250,10.0,0.0,10000.0,1.0,1.0,31.976999282836914,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,26,260,10.0,0.0,10000.0,1.0,1.0,12.968000411987305,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,27,270,10.0,0.0,10000.0,1.0,1.0,12.968000411987305,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,28,280,10.0,0.0,10000.0,1.0,1.0,12.968000411987305,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,29,290,10.0,0.0,10000.0,1.0,1.0,9.92199993133545,0.0
feature.Seral.CWHvm_HW_FDC_L.mature,30,300,10.0,0.0,10000.0,1.0,1.0,6.4029998779296875,0.0
