TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_FDC_L.regenerating,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,3,30,10.0,0.0,10000.0,1.0,1.0,7.2270002365112305,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,4,40,10.0,0.0,10000.0,1.0,1.0,4.813000202178955,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,5,50,10.0,0.0,10000.0,1.0,1.0,19.490999221801758,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,7,70,10.0,0.0,10000.0,1.0,1.0,2.0989999771118164,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,9,90,10.0,0.0,10000.0,1.0,1.0,3.0460000038146973,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,11,110,10.0,0.0,10000.0,1.0,1.0,3.5190000534057617,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,12,120,10.0,0.0,10000.0,1.0,1.0,8.048999786376953,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,13,130,10.0,0.0,10000.0,1.0,1.0,5.875999927520752,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,14,140,10.0,0.0,10000.0,1.0,1.0,17.531999588012695,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,20,200,10.0,0.0,10000.0,1.0,1.0,16.22100067138672,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,21,210,10.0,0.0,10000.0,1.0,1.0,4.328000068664551,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,23,230,10.0,0.0,10000.0,1.0,1.0,5.298999786376953,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,24,240,10.0,0.0,10000.0,1.0,1.0,21.448999404907227,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,25,250,10.0,0.0,10000.0,1.0,1.0,5.988999843597412,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,26,260,10.0,0.0,10000.0,1.0,1.0,4.401000022888184,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,28,280,10.0,0.0,10000.0,1.0,1.0,3.0869998931884766,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_L.regenerating,30,300,10.0,0.0,10000.0,1.0,1.0,20.548999786376953,0.0
