TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_J.managed.Total.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.Total.CC,1,10,10.0,0.0,10000.0,1.0,1.0,47230.1484375,0.0
product.Logs_Grade_J.managed.Total.CC,2,20,10.0,0.0,10000.0,1.0,1.0,37649.1640625,0.0
product.Logs_Grade_J.managed.Total.CC,3,30,10.0,0.0,10000.0,1.0,1.0,41550.31640625,0.0
product.Logs_Grade_J.managed.Total.CC,4,40,10.0,0.0,10000.0,1.0,1.0,37724.8515625,0.0
product.Logs_Grade_J.managed.Total.CC,5,50,10.0,0.0,10000.0,1.0,1.0,32458.673828125,0.0
product.Logs_Grade_J.managed.Total.CC,6,60,10.0,0.0,10000.0,1.0,1.0,29131.23046875,0.0
product.Logs_Grade_J.managed.Total.CC,7,70,10.0,0.0,10000.0,1.0,1.0,26825.974609375,0.0
product.Logs_Grade_J.managed.Total.CC,8,80,10.0,0.0,10000.0,1.0,1.0,26311.58203125,0.0
product.Logs_Grade_J.managed.Total.CC,9,90,10.0,0.0,10000.0,1.0,1.0,37490.73828125,0.0
product.Logs_Grade_J.managed.Total.CC,10,100,10.0,0.0,10000.0,1.0,1.0,37130.04296875,0.0
product.Logs_Grade_J.managed.Total.CC,11,110,10.0,0.0,10000.0,1.0,1.0,39585.30859375,0.0
product.Logs_Grade_J.managed.Total.CC,12,120,10.0,0.0,10000.0,1.0,1.0,41714.06640625,0.0
product.Logs_Grade_J.managed.Total.CC,13,130,10.0,0.0,10000.0,1.0,1.0,23188.900390625,0.0
product.Logs_Grade_J.managed.Total.CC,14,140,10.0,0.0,10000.0,1.0,1.0,30793.923828125,0.0
product.Logs_Grade_J.managed.Total.CC,15,150,10.0,0.0,10000.0,1.0,1.0,20879.724609375,0.0
product.Logs_Grade_J.managed.Total.CC,16,160,10.0,0.0,10000.0,1.0,1.0,33363.21484375,0.0
product.Logs_Grade_J.managed.Total.CC,17,170,10.0,0.0,10000.0,1.0,1.0,40927.296875,0.0
product.Logs_Grade_J.managed.Total.CC,18,180,10.0,0.0,10000.0,1.0,1.0,41487.27734375,0.0
product.Logs_Grade_J.managed.Total.CC,19,190,10.0,0.0,10000.0,1.0,1.0,33211.58984375,0.0
product.Logs_Grade_J.managed.Total.CC,20,200,10.0,0.0,10000.0,1.0,1.0,41831.7890625,0.0
product.Logs_Grade_J.managed.Total.CC,21,210,10.0,0.0,10000.0,1.0,1.0,26069.599609375,0.0
product.Logs_Grade_J.managed.Total.CC,22,220,10.0,0.0,10000.0,1.0,1.0,16626.369140625,0.0
product.Logs_Grade_J.managed.Total.CC,23,230,10.0,0.0,10000.0,1.0,1.0,42844.34765625,0.0
product.Logs_Grade_J.managed.Total.CC,24,240,10.0,0.0,10000.0,1.0,1.0,43264.1328125,0.0
product.Logs_Grade_J.managed.Total.CC,25,250,10.0,0.0,10000.0,1.0,1.0,37773.85546875,0.0
product.Logs_Grade_J.managed.Total.CC,26,260,10.0,0.0,10000.0,1.0,1.0,20166.068359375,0.0
product.Logs_Grade_J.managed.Total.CC,27,270,10.0,0.0,10000.0,1.0,1.0,38117.26953125,0.0
product.Logs_Grade_J.managed.Total.CC,28,280,10.0,0.0,10000.0,1.0,1.0,29001.90625,0.0
product.Logs_Grade_J.managed.Total.CC,29,290,10.0,0.0,10000.0,1.0,1.0,34011.015625,0.0
product.Logs_Grade_J.managed.Total.CC,30,300,10.0,0.0,10000.0,1.0,1.0,42458.0234375,0.0
