TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_X.managed.Total.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.Total.CC,1,10,10.0,0.0,10000.0,1.0,1.0,1839.2969970703125,0.0
product.Logs_Grade_X.managed.Total.CC,2,20,10.0,0.0,10000.0,1.0,1.0,1456.8489990234375,0.0
product.Logs_Grade_X.managed.Total.CC,3,30,10.0,0.0,10000.0,1.0,1.0,1687.4610595703125,0.0
product.Logs_Grade_X.managed.Total.CC,4,40,10.0,0.0,10000.0,1.0,1.0,1510.8680419921875,0.0
product.Logs_Grade_X.managed.Total.CC,5,50,10.0,0.0,10000.0,1.0,1.0,1310.35205078125,0.0
product.Logs_Grade_X.managed.Total.CC,6,60,10.0,0.0,10000.0,1.0,1.0,1301.6710205078125,0.0
product.Logs_Grade_X.managed.Total.CC,7,70,10.0,0.0,10000.0,1.0,1.0,1186.6429443359375,0.0
product.Logs_Grade_X.managed.Total.CC,8,80,10.0,0.0,10000.0,1.0,1.0,1020.2620239257812,0.0
product.Logs_Grade_X.managed.Total.CC,9,90,10.0,0.0,10000.0,1.0,1.0,1555.18896484375,0.0
product.Logs_Grade_X.managed.Total.CC,10,100,10.0,0.0,10000.0,1.0,1.0,1416.70703125,0.0
product.Logs_Grade_X.managed.Total.CC,11,110,10.0,0.0,10000.0,1.0,1.0,1524.89599609375,0.0
product.Logs_Grade_X.managed.Total.CC,12,120,10.0,0.0,10000.0,1.0,1.0,1645.427001953125,0.0
product.Logs_Grade_X.managed.Total.CC,13,130,10.0,0.0,10000.0,1.0,1.0,885.8690185546875,0.0
product.Logs_Grade_X.managed.Total.CC,14,140,10.0,0.0,10000.0,1.0,1.0,1197.407958984375,0.0
product.Logs_Grade_X.managed.Total.CC,15,150,10.0,0.0,10000.0,1.0,1.0,766.9329833984375,0.0
product.Logs_Grade_X.managed.Total.CC,16,160,10.0,0.0,10000.0,1.0,1.0,1409.0059814453125,0.0
product.Logs_Grade_X.managed.Total.CC,17,170,10.0,0.0,10000.0,1.0,1.0,1702.636962890625,0.0
product.Logs_Grade_X.managed.Total.CC,18,180,10.0,0.0,10000.0,1.0,1.0,1600.947021484375,0.0
product.Logs_Grade_X.managed.Total.CC,19,190,10.0,0.0,10000.0,1.0,1.0,1408.73095703125,0.0
product.Logs_Grade_X.managed.Total.CC,20,200,10.0,0.0,10000.0,1.0,1.0,1689.2569580078125,0.0
product.Logs_Grade_X.managed.Total.CC,21,210,10.0,0.0,10000.0,1.0,1.0,1334.6629638671875,0.0
product.Logs_Grade_X.managed.Total.CC,22,220,10.0,0.0,10000.0,1.0,1.0,877.1630249023438,0.0
product.Logs_Grade_X.managed.Total.CC,23,230,10.0,0.0,10000.0,1.0,1.0,1682.6190185546875,0.0
product.Logs_Grade_X.managed.Total.CC,24,240,10.0,0.0,10000.0,1.0,1.0,1722.666015625,0.0
product.Logs_Grade_X.managed.Total.CC,25,250,10.0,0.0,10000.0,1.0,1.0,1471.4990234375,0.0
product.Logs_Grade_X.managed.Total.CC,26,260,10.0,0.0,10000.0,1.0,1.0,747.1959838867188,0.0
product.Logs_Grade_X.managed.Total.CC,27,270,10.0,0.0,10000.0,1.0,1.0,1529.1829833984375,0.0
product.Logs_Grade_X.managed.Total.CC,28,280,10.0,0.0,10000.0,1.0,1.0,1079.8330078125,0.0
product.Logs_Grade_X.managed.Total.CC,29,290,10.0,0.0,10000.0,1.0,1.0,1339.93505859375,0.0
product.Logs_Grade_X.managed.Total.CC,30,300,10.0,0.0,10000.0,1.0,1.0,1670.25,0.0
