TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_Y.managed.Total.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Y.managed.Total.CC,1,10,10.0,0.0,10000.0,1.0,1.0,968.426025390625,0.0
product.Logs_Grade_Y.managed.Total.CC,2,20,10.0,0.0,10000.0,1.0,1.0,464.5880126953125,0.0
product.Logs_Grade_Y.managed.Total.CC,3,30,10.0,0.0,10000.0,1.0,1.0,1129.7330322265625,0.0
product.Logs_Grade_Y.managed.Total.CC,4,40,10.0,0.0,10000.0,1.0,1.0,785.4420166015625,0.0
product.Logs_Grade_Y.managed.Total.CC,5,50,10.0,0.0,10000.0,1.0,1.0,683.7839965820312,0.0
product.Logs_Grade_Y.managed.Total.CC,6,60,10.0,0.0,10000.0,1.0,1.0,1431.8590087890625,0.0
product.Logs_Grade_Y.managed.Total.CC,7,70,10.0,0.0,10000.0,1.0,1.0,619.1259765625,0.0
product.Logs_Grade_Y.managed.Total.CC,8,80,10.0,0.0,10000.0,1.0,1.0,856.7659912109375,0.0
product.Logs_Grade_Y.managed.Total.CC,9,90,10.0,0.0,10000.0,1.0,1.0,1372.717041015625,0.0
product.Logs_Grade_Y.managed.Total.CC,10,100,10.0,0.0,10000.0,1.0,1.0,416.1719970703125,0.0
product.Logs_Grade_Y.managed.Total.CC,11,110,10.0,0.0,10000.0,1.0,1.0,814.5440063476562,0.0
product.Logs_Grade_Y.managed.Total.CC,12,120,10.0,0.0,10000.0,1.0,1.0,826.7869873046875,0.0
product.Logs_Grade_Y.managed.Total.CC,13,130,10.0,0.0,10000.0,1.0,1.0,438.3280029296875,0.0
product.Logs_Grade_Y.managed.Total.CC,14,140,10.0,0.0,10000.0,1.0,1.0,383.343994140625,0.0
product.Logs_Grade_Y.managed.Total.CC,15,150,10.0,0.0,10000.0,1.0,1.0,453.8550109863281,0.0
product.Logs_Grade_Y.managed.Total.CC,16,160,10.0,0.0,10000.0,1.0,1.0,1169.98095703125,0.0
product.Logs_Grade_Y.managed.Total.CC,17,170,10.0,0.0,10000.0,1.0,1.0,1112.428955078125,0.0
product.Logs_Grade_Y.managed.Total.CC,18,180,10.0,0.0,10000.0,1.0,1.0,713.2579956054688,0.0
product.Logs_Grade_Y.managed.Total.CC,19,190,10.0,0.0,10000.0,1.0,1.0,1348.583984375,0.0
product.Logs_Grade_Y.managed.Total.CC,20,200,10.0,0.0,10000.0,1.0,1.0,337.24798583984375,0.0
product.Logs_Grade_Y.managed.Total.CC,21,210,10.0,0.0,10000.0,1.0,1.0,1508.0260009765625,0.0
product.Logs_Grade_Y.managed.Total.CC,22,220,10.0,0.0,10000.0,1.0,1.0,1448.89501953125,0.0
product.Logs_Grade_Y.managed.Total.CC,23,230,10.0,0.0,10000.0,1.0,1.0,1434.5240478515625,0.0
product.Logs_Grade_Y.managed.Total.CC,24,240,10.0,0.0,10000.0,1.0,1.0,971.9650268554688,0.0
product.Logs_Grade_Y.managed.Total.CC,25,250,10.0,0.0,10000.0,1.0,1.0,491.8819885253906,0.0
product.Logs_Grade_Y.managed.Total.CC,26,260,10.0,0.0,10000.0,1.0,1.0,435.2969970703125,0.0
product.Logs_Grade_Y.managed.Total.CC,27,270,10.0,0.0,10000.0,1.0,1.0,665.031982421875,0.0
product.Logs_Grade_Y.managed.Total.CC,28,280,10.0,0.0,10000.0,1.0,1.0,381.1400146484375,0.0
product.Logs_Grade_Y.managed.Total.CC,29,290,10.0,0.0,10000.0,1.0,1.0,813.6090087890625,0.0
product.Logs_Grade_Y.managed.Total.CC,30,300,10.0,0.0,10000.0,1.0,1.0,1043.2760009765625,0.0
