TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,1,10,10.0,0.0,10000.0,1.0,1.0,616.3900146484375,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,3,30,10.0,0.0,10000.0,1.0,1.0,32.62099838256836,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,4,40,10.0,0.0,10000.0,1.0,1.0,120.22200012207031,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,10,100,10.0,0.0,10000.0,1.0,1.0,650.719970703125,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,12,120,10.0,0.0,10000.0,1.0,1.0,116.28600311279297,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,13,130,10.0,0.0,10000.0,1.0,1.0,34.606998443603516,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,18,180,10.0,0.0,10000.0,1.0,1.0,642.9180297851562,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,20,200,10.0,0.0,10000.0,1.0,1.0,118.50499725341797,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,21,210,10.0,0.0,10000.0,1.0,1.0,32.01599884033203,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,25,250,10.0,0.0,10000.0,1.0,1.0,625.1669921875,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,29,290,10.0,0.0,10000.0,1.0,1.0,152.72500610351562,0.0
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
