TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.QMD.managed.CWHvm_FDC_HW_L.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,3,30,10.0,0.0,10000.0,1.0,1.0,28.299999237060547,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,5,50,10.0,0.0,10000.0,1.0,1.0,28.10099983215332,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,6,60,10.0,0.0,10000.0,1.0,1.0,26.64900016784668,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,7,70,10.0,0.0,10000.0,1.0,1.0,27.253000259399414,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,10,100,10.0,0.0,10000.0,1.0,1.0,29.00200080871582,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,12,120,10.0,0.0,10000.0,1.0,1.0,28.47800064086914,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,13,130,10.0,0.0,10000.0,1.0,1.0,28.589000701904297,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,15,150,10.0,0.0,10000.0,1.0,1.0,26.785999298095703,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,16,160,10.0,0.0,10000.0,1.0,1.0,28.898000717163086,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,21,210,10.0,0.0,10000.0,1.0,1.0,28.89900016784668,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,22,220,10.0,0.0,10000.0,1.0,1.0,25.860000610351562,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,23,230,10.0,0.0,10000.0,1.0,1.0,27.56100082397461,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,24,240,10.0,0.0,10000.0,1.0,1.0,27.70800018310547,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,25,250,10.0,0.0,10000.0,1.0,1.0,25.959999084472656,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,26,260,10.0,0.0,10000.0,1.0,1.0,27.25,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,27,270,10.0,0.0,10000.0,1.0,1.0,27.80299949645996,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,29,290,10.0,0.0,10000.0,1.0,1.0,28.94300079345703,0.0
product.QMD.managed.CWHvm_FDC_HW_L.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
