BLOCK,DELTA,AGE,TYPE,TREATMENT
1,47,104,MANAGED,CC
1,157,110,MANAGED,CC
1,270,113,MANAGED,CC
2,23,80,MANAGED,CC
2,106,83,MANAGED,CC
2,189,83,MANAGED,CC
2,269,80,MANAGED,CC
4,44,101,MANAGED,CC
4,145,101,MANAGED,CC
4,250,105,MANAGED,CC
5,34,81,MANAGED,CC
5,115,81,MANAGED,CC
5,196,81,MANAGED,CC
5,280,84,MANAGED,CC
9,30,87,MANAGED,CC
9,113,83,MANAGED,CC
9,193,80,MANAGED,CC
9,270,77,MANAGED,CC
11,43,100,MANAGED,CC
11,148,105,MANAGED,CC
11,250,102,MANAGED,CC
15,1,128,MANAGED,CC
15,101,100,MANAGED,CC
15,201,100,MANAGED,CC
15,300,99,MANAGED,CC
16,3,130,MANAGED,CC
16,140,137,MANAGED,CC
16,280,140,MANAGED,CC
17,63,130,MANAGED,CC
17,177,114,MANAGED,CC
17,290,113,MANAGED,CC
18,1,408,MANAGED,CC
18,141,140,MANAGED,CC
18,280,139,MANAGED,CC
19,10,137,MANAGED,CC
19,152,142,MANAGED,CC
19,300,148,MANAGED,CC
21,81,148,MANAGED,CC
21,171,90,MANAGED,CC
21,250,79,MANAGED,CC
22,11,68,MANAGED,CC
22,74,63,MANAGED,CC
22,141,67,MANAGED,CC
22,211,70,MANAGED,CC
22,280,69,MANAGED,CC
25,30,87,MANAGED,CC
25,120,90,MANAGED,CC
25,210,90,MANAGED,CC
25,300,90,MANAGED,CC
27,1,208,MANAGED,CC
27,91,90,MANAGED,CC
27,180,89,MANAGED,CC
27,270,90,MANAGED,CC
30,11,118,MANAGED,CC
30,108,97,MANAGED,CC
30,202,94,MANAGED,CC
30,290,88,MANAGED,CC
31,1,358,MANAGED,CC
31,141,140,MANAGED,CC
31,280,139,MANAGED,CC
35,33,90,MANAGED,CC
35,120,87,MANAGED,CC
35,210,90,MANAGED,CC
35,300,90,MANAGED,CC
38,1,408,MANAGED,CC
38,134,133,MANAGED,CC
38,270,136,MANAGED,CC
39,101,148,MANAGED,CC
39,250,149,MANAGED,CC
43,37,84,MANAGED,CC
43,123,86,MANAGED,CC
43,212,89,MANAGED,CC
43,300,88,MANAGED,CC
44,19,76,MANAGED,CC
44,99,80,MANAGED,CC
44,180,81,MANAGED,CC
44,270,90,MANAGED,CC
45,11,118,MANAGED,CC
45,109,98,MANAGED,CC
45,206,97,MANAGED,CC
45,300,94,MANAGED,CC
47,3,80,MANAGED,CC
47,88,85,MANAGED,CC
47,177,89,MANAGED,CC
47,259,82,MANAGED,CC
48,71,114,MANAGED,CC
48,191,120,MANAGED,CC
48,270,79,MANAGED,CC
50,1,238,MANAGED,CC
50,131,130,MANAGED,CC
50,280,149,MANAGED,CC
51,51,154,MANAGED,CC
51,159,108,MANAGED,CC
51,260,101,MANAGED,CC
52,11,414,MANAGED,CC
52,157,146,MANAGED,CC
52,300,143,MANAGED,CC
54,54,101,MANAGED,CC
54,155,101,MANAGED,CC
54,260,105,MANAGED,CC
56,36,83,MANAGED,CC
56,125,89,MANAGED,CC
56,211,86,MANAGED,CC
56,300,89,MANAGED,CC
59,1,358,MANAGED,CC
59,155,154,MANAGED,CC
59,300,145,MANAGED,CC
62,40,87,MANAGED,CC
62,120,80,MANAGED,CC
62,208,88,MANAGED,CC
62,290,82,MANAGED,CC
63,60,107,MANAGED,CC
63,170,110,MANAGED,CC
63,280,110,MANAGED,CC
66,46,103,MANAGED,CC
66,146,100,MANAGED,CC
66,250,104,MANAGED,CC
67,40,87,MANAGED,CC
67,122,82,MANAGED,CC
67,208,86,MANAGED,CC
67,290,82,MANAGED,CC
69,25,72,MANAGED,CC
69,105,80,MANAGED,CC
69,185,80,MANAGED,CC
69,260,75,MANAGED,CC
70,12,139,MANAGED,CC
