TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Area.og1.CWHvm_CW_HW_M,0,0,10.0,0.0,10000.0,1.0,1.0,189.19400024414062,0.0
feature.Area.og1.CWHvm_CW_HW_M,1,10,10.0,0.0,10000.0,1.0,1.0,171.88900756835938,0.0
feature.Area.og1.CWHvm_CW_HW_M,2,20,10.0,0.0,10000.0,1.0,1.0,169.9949951171875,0.0
feature.Area.og1.CWHvm_CW_HW_M,3,30,10.0,0.0,10000.0,1.0,1.0,170.63400268554688,0.0
feature.Area.og1.CWHvm_CW_HW_M,4,40,10.0,0.0,10000.0,1.0,1.0,168.9669952392578,0.0
feature.Area.og1.CWHvm_CW_HW_M,5,50,10.0,0.0,10000.0,1.0,1.0,168.3509979248047,0.0
feature.Area.og1.CWHvm_CW_HW_M,6,60,10.0,0.0,10000.0,1.0,1.0,169.4709930419922,0.0
feature.Area.og1.CWHvm_CW_HW_M,7,70,10.0,0.0,10000.0,1.0,1.0,177.38800048828125,0.0
feature.Area.og1.CWHvm_CW_HW_M,8,80,10.0,0.0,10000.0,1.0,1.0,191.5989990234375,0.0
feature.Area.og1.CWHvm_CW_HW_M,9,90,10.0,0.0,10000.0,1.0,1.0,207.35000610351562,0.0
feature.Area.og1.CWHvm_CW_HW_M,10,100,10.0,0.0,10000.0,1.0,1.0,215.58799743652344,0.0
feature.Area.og1.CWHvm_CW_HW_M,11,110,10.0,0.0,10000.0,1.0,1.0,176.70700073242188,0.0
feature.Area.og1.CWHvm_CW_HW_M,12,120,10.0,0.0,10000.0,1.0,1.0,180.60400390625,0.0
feature.Area.og1.CWHvm_CW_HW_M,13,130,10.0,0.0,10000.0,1.0,1.0,177.88900756835938,0.0
feature.Area.og1.CWHvm_CW_HW_M,14,140,10.0,0.0,10000.0,1.0,1.0,176.88800048828125,0.0
feature.Area.og1.CWHvm_CW_HW_M,15,150,10.0,0.0,10000.0,1.0,1.0,171.927001953125,0.0
feature.Area.og1.CWHvm_CW_HW_M,16,160,10.0,0.0,10000.0,1.0,1.0,171.89999389648438,0.0
feature.Area.og1.CWHvm_CW_HW_M,17,170,10.0,0.0,10000.0,1.0,1.0,170.406005859375,0.0
feature.Area.og1.CWHvm_CW_HW_M,18,180,10.0,0.0,10000.0,1.0,1.0,170.406005859375,0.0
feature.Area.og1.CWHvm_CW_HW_M,19,190,10.0,0.0,10000.0,1.0,1.0,170.406005859375,0.0
feature.Area.og1.CWHvm_CW_HW_M,20,200,10.0,0.0,10000.0,1.0,1.0,170.406005859375,0.0
feature.Area.og1.CWHvm_CW_HW_M,21,210,10.0,0.0,10000.0,1.0,1.0,171.52499389648438,0.0
feature.Area.og1.CWHvm_CW_HW_M,22,220,10.0,0.0,10000.0,1.0,1.0,179.43800354003906,0.0
feature.Area.og1.CWHvm_CW_HW_M,23,230,10.0,0.0,10000.0,1.0,1.0,193.39300537109375,0.0
feature.Area.og1.CWHvm_CW_HW_M,24,240,10.0,0.0,10000.0,1.0,1.0,207.6060028076172,0.0
feature.Area.og1.CWHvm_CW_HW_M,25,250,10.0,0.0,10000.0,1.0,1.0,187.85800170898438,0.0
feature.Area.og1.CWHvm_CW_HW_M,26,260,10.0,0.0,10000.0,1.0,1.0,177.38099670410156,0.0
feature.Area.og1.CWHvm_CW_HW_M,27,270,10.0,0.0,10000.0,1.0,1.0,179.86900329589844,0.0
feature.Area.og1.CWHvm_CW_HW_M,28,280,10.0,0.0,10000.0,1.0,1.0,178.0290069580078,0.0
feature.Area.og1.CWHvm_CW_HW_M,29,290,10.0,0.0,10000.0,1.0,1.0,178.63699340820312,0.0
feature.Area.og1.CWHvm_CW_HW_M,30,300,10.0,0.0,10000.0,1.0,1.0,170.406005859375,0.0
