TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Area.og1.CWHvm_HW_CW_L,0,0,10.0,0.0,10000.0,1.0,1.0,42.92399978637695,0.0
feature.Area.og1.CWHvm_HW_CW_L,1,10,10.0,0.0,10000.0,1.0,1.0,38.31700134277344,0.0
feature.Area.og1.CWHvm_HW_CW_L,2,20,10.0,0.0,10000.0,1.0,1.0,38.31700134277344,0.0
feature.Area.og1.CWHvm_HW_CW_L,3,30,10.0,0.0,10000.0,1.0,1.0,38.31700134277344,0.0
feature.Area.og1.CWHvm_HW_CW_L,4,40,10.0,0.0,10000.0,1.0,1.0,38.31700134277344,0.0
feature.Area.og1.CWHvm_HW_CW_L,5,50,10.0,0.0,10000.0,1.0,1.0,38.31700134277344,0.0
feature.Area.og1.CWHvm_HW_CW_L,6,60,10.0,0.0,10000.0,1.0,1.0,38.67399978637695,0.0
feature.Area.og1.CWHvm_HW_CW_L,7,70,10.0,0.0,10000.0,1.0,1.0,39.18299865722656,0.0
feature.Area.og1.CWHvm_HW_CW_L,8,80,10.0,0.0,10000.0,1.0,1.0,39.69300079345703,0.0
feature.Area.og1.CWHvm_HW_CW_L,9,90,10.0,0.0,10000.0,1.0,1.0,40.20199966430664,0.0
feature.Area.og1.CWHvm_HW_CW_L,10,100,10.0,0.0,10000.0,1.0,1.0,40.71200180053711,0.0
feature.Area.og1.CWHvm_HW_CW_L,11,110,10.0,0.0,10000.0,1.0,1.0,41.22100067138672,0.0
feature.Area.og1.CWHvm_HW_CW_L,12,120,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,13,130,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,14,140,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,15,150,10.0,0.0,10000.0,1.0,1.0,41.483001708984375,0.0
feature.Area.og1.CWHvm_HW_CW_L,16,160,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,17,170,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,18,180,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,19,190,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,20,200,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,21,210,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,22,220,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,23,230,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,24,240,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,25,250,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,26,260,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,27,270,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,28,280,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,29,290,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
feature.Area.og1.CWHvm_HW_CW_L,30,300,10.0,0.0,10000.0,1.0,1.0,41.374000549316406,0.0
