TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Area.og1.CWHvm_HW_SS_M,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Area.og1.CWHvm_HW_SS_M,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Area.og1.CWHvm_HW_SS_M,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Area.og1.CWHvm_HW_SS_M,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Area.og1.CWHvm_HW_SS_M,4,40,10.0,0.0,10000.0,1.0,1.0,2.1440000534057617,0.0
feature.Area.og1.CWHvm_HW_SS_M,5,50,10.0,0.0,10000.0,1.0,1.0,5.206999778747559,0.0
feature.Area.og1.CWHvm_HW_SS_M,6,60,10.0,0.0,10000.0,1.0,1.0,8.321000099182129,0.0
feature.Area.og1.CWHvm_HW_SS_M,7,70,10.0,0.0,10000.0,1.0,1.0,11.460000038146973,0.0
feature.Area.og1.CWHvm_HW_SS_M,8,80,10.0,0.0,10000.0,1.0,1.0,3.13700008392334,0.0
feature.Area.og1.CWHvm_HW_SS_M,9,90,10.0,0.0,10000.0,1.0,1.0,3.8369998931884766,0.0
feature.Area.og1.CWHvm_HW_SS_M,10,100,10.0,0.0,10000.0,1.0,1.0,4.535999774932861,0.0
feature.Area.og1.CWHvm_HW_SS_M,11,110,10.0,0.0,10000.0,1.0,1.0,5.236000061035156,0.0
feature.Area.og1.CWHvm_HW_SS_M,12,120,10.0,0.0,10000.0,1.0,1.0,5.498000144958496,0.0
feature.Area.og1.CWHvm_HW_SS_M,13,130,10.0,0.0,10000.0,1.0,1.0,5.572999954223633,0.0
feature.Area.og1.CWHvm_HW_SS_M,14,140,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,15,150,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,16,160,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,17,170,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,18,180,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,19,190,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,20,200,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,21,210,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,22,220,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,23,230,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,24,240,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,25,250,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,26,260,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,27,270,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,28,280,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,29,290,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
feature.Area.og1.CWHvm_HW_SS_M,30,300,10.0,0.0,10000.0,1.0,1.0,5.5960001945495605,0.0
