TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.managed.CWHvm_CW_HW_M,0,0,10.0,0.0,10000.0,1.0,1.0,18.697999954223633,0.0
feature.Height.managed.CWHvm_CW_HW_M,1,10,10.0,0.0,10000.0,1.0,1.0,15.128000259399414,0.0
feature.Height.managed.CWHvm_CW_HW_M,2,20,10.0,0.0,10000.0,1.0,1.0,16.538999557495117,0.0
feature.Height.managed.CWHvm_CW_HW_M,3,30,10.0,0.0,10000.0,1.0,1.0,18.68000030517578,0.0
feature.Height.managed.CWHvm_CW_HW_M,4,40,10.0,0.0,10000.0,1.0,1.0,20.018999099731445,0.0
feature.Height.managed.CWHvm_CW_HW_M,5,50,10.0,0.0,10000.0,1.0,1.0,17.64900016784668,0.0
feature.Height.managed.CWHvm_CW_HW_M,6,60,10.0,0.0,10000.0,1.0,1.0,19.461999893188477,0.0
feature.Height.managed.CWHvm_CW_HW_M,7,70,10.0,0.0,10000.0,1.0,1.0,21.2450008392334,0.0
feature.Height.managed.CWHvm_CW_HW_M,8,80,10.0,0.0,10000.0,1.0,1.0,22.94099998474121,0.0
feature.Height.managed.CWHvm_CW_HW_M,9,90,10.0,0.0,10000.0,1.0,1.0,24.47100067138672,0.0
feature.Height.managed.CWHvm_CW_HW_M,10,100,10.0,0.0,10000.0,1.0,1.0,23.93400001525879,0.0
feature.Height.managed.CWHvm_CW_HW_M,11,110,10.0,0.0,10000.0,1.0,1.0,10.432000160217285,0.0
feature.Height.managed.CWHvm_CW_HW_M,12,120,10.0,0.0,10000.0,1.0,1.0,12.633000373840332,0.0
feature.Height.managed.CWHvm_CW_HW_M,13,130,10.0,0.0,10000.0,1.0,1.0,13.256999969482422,0.0
feature.Height.managed.CWHvm_CW_HW_M,14,140,10.0,0.0,10000.0,1.0,1.0,13.597000122070312,0.0
feature.Height.managed.CWHvm_CW_HW_M,15,150,10.0,0.0,10000.0,1.0,1.0,13.607000350952148,0.0
feature.Height.managed.CWHvm_CW_HW_M,16,160,10.0,0.0,10000.0,1.0,1.0,15.527000427246094,0.0
feature.Height.managed.CWHvm_CW_HW_M,17,170,10.0,0.0,10000.0,1.0,1.0,13.027000427246094,0.0
feature.Height.managed.CWHvm_CW_HW_M,18,180,10.0,0.0,10000.0,1.0,1.0,15.317000389099121,0.0
feature.Height.managed.CWHvm_CW_HW_M,19,190,10.0,0.0,10000.0,1.0,1.0,17.545000076293945,0.0
feature.Height.managed.CWHvm_CW_HW_M,20,200,10.0,0.0,10000.0,1.0,1.0,19.635000228881836,0.0
feature.Height.managed.CWHvm_CW_HW_M,21,210,10.0,0.0,10000.0,1.0,1.0,21.499000549316406,0.0
feature.Height.managed.CWHvm_CW_HW_M,22,220,10.0,0.0,10000.0,1.0,1.0,23.163999557495117,0.0
feature.Height.managed.CWHvm_CW_HW_M,23,230,10.0,0.0,10000.0,1.0,1.0,24.66200065612793,0.0
feature.Height.managed.CWHvm_CW_HW_M,24,240,10.0,0.0,10000.0,1.0,1.0,25.988000869750977,0.0
feature.Height.managed.CWHvm_CW_HW_M,25,250,10.0,0.0,10000.0,1.0,1.0,16.142000198364258,0.0
feature.Height.managed.CWHvm_CW_HW_M,26,260,10.0,0.0,10000.0,1.0,1.0,11.48900032043457,0.0
feature.Height.managed.CWHvm_CW_HW_M,27,270,10.0,0.0,10000.0,1.0,1.0,12.253000259399414,0.0
feature.Height.managed.CWHvm_CW_HW_M,28,280,10.0,0.0,10000.0,1.0,1.0,8.156000137329102,0.0
feature.Height.managed.CWHvm_CW_HW_M,29,290,10.0,0.0,10000.0,1.0,1.0,9.711999893188477,0.0
feature.Height.managed.CWHvm_CW_HW_M,30,300,10.0,0.0,10000.0,1.0,1.0,9.75100040435791,0.0
