TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.managed.CWHvm_FDC_HW_M,0,0,10.0,0.0,10000.0,1.0,1.0,31.767000198364258,0.0
feature.Height.managed.CWHvm_FDC_HW_M,1,10,10.0,0.0,10000.0,1.0,1.0,35.777000427246094,0.0
feature.Height.managed.CWHvm_FDC_HW_M,2,20,10.0,0.0,10000.0,1.0,1.0,36.81999969482422,0.0
feature.Height.managed.CWHvm_FDC_HW_M,3,30,10.0,0.0,10000.0,1.0,1.0,35.750999450683594,0.0
feature.Height.managed.CWHvm_FDC_HW_M,4,40,10.0,0.0,10000.0,1.0,1.0,38.25899887084961,0.0
feature.Height.managed.CWHvm_FDC_HW_M,5,50,10.0,0.0,10000.0,1.0,1.0,41.356998443603516,0.0
feature.Height.managed.CWHvm_FDC_HW_M,6,60,10.0,0.0,10000.0,1.0,1.0,44.13399887084961,0.0
feature.Height.managed.CWHvm_FDC_HW_M,7,70,10.0,0.0,10000.0,1.0,1.0,46.52799987792969,0.0
feature.Height.managed.CWHvm_FDC_HW_M,8,80,10.0,0.0,10000.0,1.0,1.0,48.59700012207031,0.0
feature.Height.managed.CWHvm_FDC_HW_M,9,90,10.0,0.0,10000.0,1.0,1.0,48.00299835205078,0.0
feature.Height.managed.CWHvm_FDC_HW_M,10,100,10.0,0.0,10000.0,1.0,1.0,47.891998291015625,0.0
feature.Height.managed.CWHvm_FDC_HW_M,11,110,10.0,0.0,10000.0,1.0,1.0,47.69499969482422,0.0
feature.Height.managed.CWHvm_FDC_HW_M,12,120,10.0,0.0,10000.0,1.0,1.0,48.94300079345703,0.0
feature.Height.managed.CWHvm_FDC_HW_M,13,130,10.0,0.0,10000.0,1.0,1.0,50.849998474121094,0.0
feature.Height.managed.CWHvm_FDC_HW_M,14,140,10.0,0.0,10000.0,1.0,1.0,52.62099838256836,0.0
feature.Height.managed.CWHvm_FDC_HW_M,15,150,10.0,0.0,10000.0,1.0,1.0,54.178001403808594,0.0
feature.Height.managed.CWHvm_FDC_HW_M,16,160,10.0,0.0,10000.0,1.0,1.0,53.10200119018555,0.0
feature.Height.managed.CWHvm_FDC_HW_M,17,170,10.0,0.0,10000.0,1.0,1.0,54.54499816894531,0.0
feature.Height.managed.CWHvm_FDC_HW_M,18,180,10.0,0.0,10000.0,1.0,1.0,53.900001525878906,0.0
feature.Height.managed.CWHvm_FDC_HW_M,19,190,10.0,0.0,10000.0,1.0,1.0,53.17599868774414,0.0
feature.Height.managed.CWHvm_FDC_HW_M,20,200,10.0,0.0,10000.0,1.0,1.0,53.987998962402344,0.0
feature.Height.managed.CWHvm_FDC_HW_M,21,210,10.0,0.0,10000.0,1.0,1.0,55.5099983215332,0.0
feature.Height.managed.CWHvm_FDC_HW_M,22,220,10.0,0.0,10000.0,1.0,1.0,56.941001892089844,0.0
feature.Height.managed.CWHvm_FDC_HW_M,23,230,10.0,0.0,10000.0,1.0,1.0,55.73099899291992,0.0
feature.Height.managed.CWHvm_FDC_HW_M,24,240,10.0,0.0,10000.0,1.0,1.0,56.97800064086914,0.0
feature.Height.managed.CWHvm_FDC_HW_M,25,250,10.0,0.0,10000.0,1.0,1.0,58.26300048828125,0.0
feature.Height.managed.CWHvm_FDC_HW_M,26,260,10.0,0.0,10000.0,1.0,1.0,57.43199920654297,0.0
feature.Height.managed.CWHvm_FDC_HW_M,27,270,10.0,0.0,10000.0,1.0,1.0,56.33599853515625,0.0
feature.Height.managed.CWHvm_FDC_HW_M,28,280,10.0,0.0,10000.0,1.0,1.0,56.80400085449219,0.0
feature.Height.managed.CWHvm_FDC_HW_M,29,290,10.0,0.0,10000.0,1.0,1.0,55.847999572753906,0.0
feature.Height.managed.CWHvm_FDC_HW_M,30,300,10.0,0.0,10000.0,1.0,1.0,57.10300064086914,0.0
