TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.managed.CWHvm_HW_FDC_H,0,0,10.0,0.0,10000.0,1.0,1.0,33.762001037597656,0.0
feature.Height.managed.CWHvm_HW_FDC_H,1,10,10.0,0.0,10000.0,1.0,1.0,35.762001037597656,0.0
feature.Height.managed.CWHvm_HW_FDC_H,2,20,10.0,0.0,10000.0,1.0,1.0,35.106998443603516,0.0
feature.Height.managed.CWHvm_HW_FDC_H,3,30,10.0,0.0,10000.0,1.0,1.0,35.1870002746582,0.0
feature.Height.managed.CWHvm_HW_FDC_H,4,40,10.0,0.0,10000.0,1.0,1.0,34.90700149536133,0.0
feature.Height.managed.CWHvm_HW_FDC_H,5,50,10.0,0.0,10000.0,1.0,1.0,32.61399841308594,0.0
feature.Height.managed.CWHvm_HW_FDC_H,6,60,10.0,0.0,10000.0,1.0,1.0,32.71099853515625,0.0
feature.Height.managed.CWHvm_HW_FDC_H,7,70,10.0,0.0,10000.0,1.0,1.0,36.47100067138672,0.0
feature.Height.managed.CWHvm_HW_FDC_H,8,80,10.0,0.0,10000.0,1.0,1.0,39.06700134277344,0.0
feature.Height.managed.CWHvm_HW_FDC_H,9,90,10.0,0.0,10000.0,1.0,1.0,38.89799880981445,0.0
feature.Height.managed.CWHvm_HW_FDC_H,10,100,10.0,0.0,10000.0,1.0,1.0,37.66899871826172,0.0
feature.Height.managed.CWHvm_HW_FDC_H,11,110,10.0,0.0,10000.0,1.0,1.0,40.00199890136719,0.0
feature.Height.managed.CWHvm_HW_FDC_H,12,120,10.0,0.0,10000.0,1.0,1.0,37.909000396728516,0.0
feature.Height.managed.CWHvm_HW_FDC_H,13,130,10.0,0.0,10000.0,1.0,1.0,35.47700119018555,0.0
feature.Height.managed.CWHvm_HW_FDC_H,14,140,10.0,0.0,10000.0,1.0,1.0,36.19200134277344,0.0
feature.Height.managed.CWHvm_HW_FDC_H,15,150,10.0,0.0,10000.0,1.0,1.0,35.80699920654297,0.0
feature.Height.managed.CWHvm_HW_FDC_H,16,160,10.0,0.0,10000.0,1.0,1.0,39.26100158691406,0.0
feature.Height.managed.CWHvm_HW_FDC_H,17,170,10.0,0.0,10000.0,1.0,1.0,37.125,0.0
feature.Height.managed.CWHvm_HW_FDC_H,18,180,10.0,0.0,10000.0,1.0,1.0,36.79899978637695,0.0
feature.Height.managed.CWHvm_HW_FDC_H,19,190,10.0,0.0,10000.0,1.0,1.0,38.435001373291016,0.0
feature.Height.managed.CWHvm_HW_FDC_H,20,200,10.0,0.0,10000.0,1.0,1.0,37.83399963378906,0.0
feature.Height.managed.CWHvm_HW_FDC_H,21,210,10.0,0.0,10000.0,1.0,1.0,38.57899856567383,0.0
feature.Height.managed.CWHvm_HW_FDC_H,22,220,10.0,0.0,10000.0,1.0,1.0,41.34199905395508,0.0
feature.Height.managed.CWHvm_HW_FDC_H,23,230,10.0,0.0,10000.0,1.0,1.0,39.33300018310547,0.0
feature.Height.managed.CWHvm_HW_FDC_H,24,240,10.0,0.0,10000.0,1.0,1.0,37.465999603271484,0.0
feature.Height.managed.CWHvm_HW_FDC_H,25,250,10.0,0.0,10000.0,1.0,1.0,34.30500030517578,0.0
feature.Height.managed.CWHvm_HW_FDC_H,26,260,10.0,0.0,10000.0,1.0,1.0,37.04399871826172,0.0
feature.Height.managed.CWHvm_HW_FDC_H,27,270,10.0,0.0,10000.0,1.0,1.0,37.28200149536133,0.0
feature.Height.managed.CWHvm_HW_FDC_H,28,280,10.0,0.0,10000.0,1.0,1.0,35.53499984741211,0.0
feature.Height.managed.CWHvm_HW_FDC_H,29,290,10.0,0.0,10000.0,1.0,1.0,37.79800033569336,0.0
feature.Height.managed.CWHvm_HW_FDC_H,30,300,10.0,0.0,10000.0,1.0,1.0,38.63600158691406,0.0
