TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.managed.CWHvm_HW_FDC_L,0,0,10.0,0.0,10000.0,1.0,1.0,30.64699935913086,0.0
feature.Height.managed.CWHvm_HW_FDC_L,1,10,10.0,0.0,10000.0,1.0,1.0,31.639999389648438,0.0
feature.Height.managed.CWHvm_HW_FDC_L,2,20,10.0,0.0,10000.0,1.0,1.0,31.72800064086914,0.0
feature.Height.managed.CWHvm_HW_FDC_L,3,30,10.0,0.0,10000.0,1.0,1.0,33.45100021362305,0.0
feature.Height.managed.CWHvm_HW_FDC_L,4,40,10.0,0.0,10000.0,1.0,1.0,35.49399948120117,0.0
feature.Height.managed.CWHvm_HW_FDC_L,5,50,10.0,0.0,10000.0,1.0,1.0,35.48099899291992,0.0
feature.Height.managed.CWHvm_HW_FDC_L,6,60,10.0,0.0,10000.0,1.0,1.0,32.082000732421875,0.0
feature.Height.managed.CWHvm_HW_FDC_L,7,70,10.0,0.0,10000.0,1.0,1.0,31.518999099731445,0.0
feature.Height.managed.CWHvm_HW_FDC_L,8,80,10.0,0.0,10000.0,1.0,1.0,32.560001373291016,0.0
feature.Height.managed.CWHvm_HW_FDC_L,9,90,10.0,0.0,10000.0,1.0,1.0,33.59000015258789,0.0
feature.Height.managed.CWHvm_HW_FDC_L,10,100,10.0,0.0,10000.0,1.0,1.0,35.4630012512207,0.0
feature.Height.managed.CWHvm_HW_FDC_L,11,110,10.0,0.0,10000.0,1.0,1.0,35.31700134277344,0.0
feature.Height.managed.CWHvm_HW_FDC_L,12,120,10.0,0.0,10000.0,1.0,1.0,36.6879997253418,0.0
feature.Height.managed.CWHvm_HW_FDC_L,13,130,10.0,0.0,10000.0,1.0,1.0,38.474998474121094,0.0
feature.Height.managed.CWHvm_HW_FDC_L,14,140,10.0,0.0,10000.0,1.0,1.0,40.12799835205078,0.0
feature.Height.managed.CWHvm_HW_FDC_L,15,150,10.0,0.0,10000.0,1.0,1.0,40.520999908447266,0.0
feature.Height.managed.CWHvm_HW_FDC_L,16,160,10.0,0.0,10000.0,1.0,1.0,38.141998291015625,0.0
feature.Height.managed.CWHvm_HW_FDC_L,17,170,10.0,0.0,10000.0,1.0,1.0,39.55500030517578,0.0
feature.Height.managed.CWHvm_HW_FDC_L,18,180,10.0,0.0,10000.0,1.0,1.0,38.07600021362305,0.0
feature.Height.managed.CWHvm_HW_FDC_L,19,190,10.0,0.0,10000.0,1.0,1.0,37.12900161743164,0.0
feature.Height.managed.CWHvm_HW_FDC_L,20,200,10.0,0.0,10000.0,1.0,1.0,36.189998626708984,0.0
feature.Height.managed.CWHvm_HW_FDC_L,21,210,10.0,0.0,10000.0,1.0,1.0,35.667999267578125,0.0
feature.Height.managed.CWHvm_HW_FDC_L,22,220,10.0,0.0,10000.0,1.0,1.0,37.6349983215332,0.0
feature.Height.managed.CWHvm_HW_FDC_L,23,230,10.0,0.0,10000.0,1.0,1.0,39.46900177001953,0.0
feature.Height.managed.CWHvm_HW_FDC_L,24,240,10.0,0.0,10000.0,1.0,1.0,41.05799865722656,0.0
feature.Height.managed.CWHvm_HW_FDC_L,25,250,10.0,0.0,10000.0,1.0,1.0,41.39699935913086,0.0
feature.Height.managed.CWHvm_HW_FDC_L,26,260,10.0,0.0,10000.0,1.0,1.0,37.869998931884766,0.0
feature.Height.managed.CWHvm_HW_FDC_L,27,270,10.0,0.0,10000.0,1.0,1.0,39.23899841308594,0.0
feature.Height.managed.CWHvm_HW_FDC_L,28,280,10.0,0.0,10000.0,1.0,1.0,40.7859992980957,0.0
feature.Height.managed.CWHvm_HW_FDC_L,29,290,10.0,0.0,10000.0,1.0,1.0,37.63999938964844,0.0
feature.Height.managed.CWHvm_HW_FDC_L,30,300,10.0,0.0,10000.0,1.0,1.0,34.67599868774414,0.0
