TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.unmanaged.CWHvm_DR_HW_M,0,0,10.0,0.0,10000.0,1.0,1.0,26.591999053955078,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,1,10,10.0,0.0,10000.0,1.0,1.0,31.792999267578125,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,2,20,10.0,0.0,10000.0,1.0,1.0,37.02299880981445,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,3,30,10.0,0.0,10000.0,1.0,1.0,42.27199935913086,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,4,40,10.0,0.0,10000.0,1.0,1.0,47.492000579833984,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,5,50,10.0,0.0,10000.0,1.0,1.0,52.69300079345703,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,6,60,10.0,0.0,10000.0,1.0,1.0,57.89099884033203,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,7,70,10.0,0.0,10000.0,1.0,1.0,63.12200164794922,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,8,80,10.0,0.0,10000.0,1.0,1.0,68.37100219726562,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,9,90,10.0,0.0,10000.0,1.0,1.0,73.59200286865234,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,10,100,10.0,0.0,10000.0,1.0,1.0,78.79199981689453,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,11,110,10.0,0.0,10000.0,1.0,1.0,83.99299621582031,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,12,120,10.0,0.0,10000.0,1.0,1.0,89.22200012207031,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,13,130,10.0,0.0,10000.0,1.0,1.0,94.4729995727539,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,14,140,10.0,0.0,10000.0,1.0,1.0,99.69200134277344,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,15,150,10.0,0.0,10000.0,1.0,1.0,104.89099884033203,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,16,160,10.0,0.0,10000.0,1.0,1.0,110.09200286865234,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,17,170,10.0,0.0,10000.0,1.0,1.0,115.3239974975586,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,18,180,10.0,0.0,10000.0,1.0,1.0,120.5719985961914,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,19,190,10.0,0.0,10000.0,1.0,1.0,125.79299926757812,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,20,200,10.0,0.0,10000.0,1.0,1.0,130.9929962158203,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,21,210,10.0,0.0,10000.0,1.0,1.0,136.19200134277344,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,22,220,10.0,0.0,10000.0,1.0,1.0,141.4199981689453,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,23,230,10.0,0.0,10000.0,1.0,1.0,146.6699981689453,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,24,240,10.0,0.0,10000.0,1.0,1.0,151.8979949951172,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,25,250,10.0,0.0,10000.0,1.0,1.0,155.322998046875,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,26,260,10.0,0.0,10000.0,1.0,1.0,156.0959930419922,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,27,270,10.0,0.0,10000.0,1.0,1.0,156.0959930419922,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,28,280,10.0,0.0,10000.0,1.0,1.0,156.0959930419922,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,29,290,10.0,0.0,10000.0,1.0,1.0,156.0959930419922,0.0
feature.Height.unmanaged.CWHvm_DR_HW_M,30,300,10.0,0.0,10000.0,1.0,1.0,156.0959930419922,0.0
