TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.unmanaged.CWHvm_HW_CW_H,0,0,10.0,0.0,10000.0,1.0,1.0,66.18900299072266,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,1,10,10.0,0.0,10000.0,1.0,1.0,71.21099853515625,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,2,20,10.0,0.0,10000.0,1.0,1.0,76.22799682617188,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,3,30,10.0,0.0,10000.0,1.0,1.0,81.23699951171875,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,4,40,10.0,0.0,10000.0,1.0,1.0,86.23799896240234,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,5,50,10.0,0.0,10000.0,1.0,1.0,91.29100036621094,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,6,60,10.0,0.0,10000.0,1.0,1.0,96.31099700927734,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,7,70,10.0,0.0,10000.0,1.0,1.0,101.3290023803711,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,8,80,10.0,0.0,10000.0,1.0,1.0,106.33699798583984,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,9,90,10.0,0.0,10000.0,1.0,1.0,111.33699798583984,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,10,100,10.0,0.0,10000.0,1.0,1.0,116.39099884033203,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,11,110,10.0,0.0,10000.0,1.0,1.0,121.41300201416016,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,12,120,10.0,0.0,10000.0,1.0,1.0,126.42900085449219,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,13,130,10.0,0.0,10000.0,1.0,1.0,130.28399658203125,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,14,140,10.0,0.0,10000.0,1.0,1.0,133.843994140625,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,15,150,10.0,0.0,10000.0,1.0,1.0,137.4340057373047,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,16,160,10.0,0.0,10000.0,1.0,1.0,141.0070037841797,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,17,170,10.0,0.0,10000.0,1.0,1.0,144.5850067138672,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,18,180,10.0,0.0,10000.0,1.0,1.0,146.281005859375,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,19,190,10.0,0.0,10000.0,1.0,1.0,147.5019989013672,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,20,200,10.0,0.0,10000.0,1.0,1.0,148.12100219726562,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,21,210,10.0,0.0,10000.0,1.0,1.0,148.58900451660156,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,22,220,10.0,0.0,10000.0,1.0,1.0,149.06399536132812,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,23,230,10.0,0.0,10000.0,1.0,1.0,149.53500366210938,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,24,240,10.0,0.0,10000.0,1.0,1.0,150.0019989013672,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,25,250,10.0,0.0,10000.0,1.0,1.0,150.0959930419922,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,26,260,10.0,0.0,10000.0,1.0,1.0,150.0959930419922,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,27,270,10.0,0.0,10000.0,1.0,1.0,150.0959930419922,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,28,280,10.0,0.0,10000.0,1.0,1.0,150.0959930419922,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,29,290,10.0,0.0,10000.0,1.0,1.0,150.0959930419922,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,30,300,10.0,0.0,10000.0,1.0,1.0,150.0959930419922,0.0
