TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.unmanaged.CWHvm_HW_CW_M,0,0,10.0,0.0,10000.0,1.0,1.0,44.90999984741211,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,1,10,10.0,0.0,10000.0,1.0,1.0,49.00899887084961,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,2,20,10.0,0.0,10000.0,1.0,1.0,53.108001708984375,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,3,30,10.0,0.0,10000.0,1.0,1.0,57.20899963378906,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,4,40,10.0,0.0,10000.0,1.0,1.0,61.308998107910156,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,5,50,10.0,0.0,10000.0,1.0,1.0,65.40899658203125,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,6,60,10.0,0.0,10000.0,1.0,1.0,69.51000213623047,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,7,70,10.0,0.0,10000.0,1.0,1.0,73.60800170898438,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,8,80,10.0,0.0,10000.0,1.0,1.0,77.70899963378906,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,9,90,10.0,0.0,10000.0,1.0,1.0,81.80799865722656,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,10,100,10.0,0.0,10000.0,1.0,1.0,85.90799713134766,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,11,110,10.0,0.0,10000.0,1.0,1.0,90.00900268554688,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,12,120,10.0,0.0,10000.0,1.0,1.0,94.11000061035156,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,13,130,10.0,0.0,10000.0,1.0,1.0,97.55000305175781,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,14,140,10.0,0.0,10000.0,1.0,1.0,100.822998046875,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,15,150,10.0,0.0,10000.0,1.0,1.0,104.09500122070312,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,16,160,10.0,0.0,10000.0,1.0,1.0,107.36900329589844,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,17,170,10.0,0.0,10000.0,1.0,1.0,110.64600372314453,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,18,180,10.0,0.0,10000.0,1.0,1.0,112.4990005493164,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,19,190,10.0,0.0,10000.0,1.0,1.0,113.99500274658203,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,20,200,10.0,0.0,10000.0,1.0,1.0,115.49299621582031,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,21,210,10.0,0.0,10000.0,1.0,1.0,116.98999786376953,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,22,220,10.0,0.0,10000.0,1.0,1.0,118.48699951171875,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,23,230,10.0,0.0,10000.0,1.0,1.0,119.98500061035156,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,24,240,10.0,0.0,10000.0,1.0,1.0,121.48400115966797,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,25,250,10.0,0.0,10000.0,1.0,1.0,122.10900115966797,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,26,260,10.0,0.0,10000.0,1.0,1.0,122.51599884033203,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,27,270,10.0,0.0,10000.0,1.0,1.0,122.5979995727539,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,28,280,10.0,0.0,10000.0,1.0,1.0,122.5979995727539,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,29,290,10.0,0.0,10000.0,1.0,1.0,122.5979995727539,0.0
feature.Height.unmanaged.CWHvm_HW_CW_M,30,300,10.0,0.0,10000.0,1.0,1.0,122.5979995727539,0.0
