TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.managed.CWHvm_CW_HW_M,0,0,10.0,0.0,10000.0,1.0,1.0,14.394000053405762,0.0
feature.QMD.managed.CWHvm_CW_HW_M,1,10,10.0,0.0,10000.0,1.0,1.0,13.168999671936035,0.0
feature.QMD.managed.CWHvm_CW_HW_M,2,20,10.0,0.0,10000.0,1.0,1.0,14.402000427246094,0.0
feature.QMD.managed.CWHvm_CW_HW_M,3,30,10.0,0.0,10000.0,1.0,1.0,15.89900016784668,0.0
feature.QMD.managed.CWHvm_CW_HW_M,4,40,10.0,0.0,10000.0,1.0,1.0,17.336000442504883,0.0
feature.QMD.managed.CWHvm_CW_HW_M,5,50,10.0,0.0,10000.0,1.0,1.0,15.404999732971191,0.0
feature.QMD.managed.CWHvm_CW_HW_M,6,60,10.0,0.0,10000.0,1.0,1.0,16.604000091552734,0.0
feature.QMD.managed.CWHvm_CW_HW_M,7,70,10.0,0.0,10000.0,1.0,1.0,17.652000427246094,0.0
feature.QMD.managed.CWHvm_CW_HW_M,8,80,10.0,0.0,10000.0,1.0,1.0,18.812999725341797,0.0
feature.QMD.managed.CWHvm_CW_HW_M,9,90,10.0,0.0,10000.0,1.0,1.0,20.398000717163086,0.0
feature.QMD.managed.CWHvm_CW_HW_M,10,100,10.0,0.0,10000.0,1.0,1.0,20.011999130249023,0.0
feature.QMD.managed.CWHvm_CW_HW_M,11,110,10.0,0.0,10000.0,1.0,1.0,8.376999855041504,0.0
feature.QMD.managed.CWHvm_CW_HW_M,12,120,10.0,0.0,10000.0,1.0,1.0,8.928999900817871,0.0
feature.QMD.managed.CWHvm_CW_HW_M,13,130,10.0,0.0,10000.0,1.0,1.0,8.581999778747559,0.0
feature.QMD.managed.CWHvm_CW_HW_M,14,140,10.0,0.0,10000.0,1.0,1.0,9.491000175476074,0.0
feature.QMD.managed.CWHvm_CW_HW_M,15,150,10.0,0.0,10000.0,1.0,1.0,10.795999526977539,0.0
feature.QMD.managed.CWHvm_CW_HW_M,16,160,10.0,0.0,10000.0,1.0,1.0,12.88599967956543,0.0
feature.QMD.managed.CWHvm_CW_HW_M,17,170,10.0,0.0,10000.0,1.0,1.0,10.920999526977539,0.0
feature.QMD.managed.CWHvm_CW_HW_M,18,180,10.0,0.0,10000.0,1.0,1.0,13.017000198364258,0.0
feature.QMD.managed.CWHvm_CW_HW_M,19,190,10.0,0.0,10000.0,1.0,1.0,14.793000221252441,0.0
feature.QMD.managed.CWHvm_CW_HW_M,20,200,10.0,0.0,10000.0,1.0,1.0,16.600000381469727,0.0
feature.QMD.managed.CWHvm_CW_HW_M,21,210,10.0,0.0,10000.0,1.0,1.0,18.659000396728516,0.0
feature.QMD.managed.CWHvm_CW_HW_M,22,220,10.0,0.0,10000.0,1.0,1.0,20.222000122070312,0.0
feature.QMD.managed.CWHvm_CW_HW_M,23,230,10.0,0.0,10000.0,1.0,1.0,21.28499984741211,0.0
feature.QMD.managed.CWHvm_CW_HW_M,24,240,10.0,0.0,10000.0,1.0,1.0,22.114999771118164,0.0
feature.QMD.managed.CWHvm_CW_HW_M,25,250,10.0,0.0,10000.0,1.0,1.0,13.840999603271484,0.0
feature.QMD.managed.CWHvm_CW_HW_M,26,260,10.0,0.0,10000.0,1.0,1.0,9.194000244140625,0.0
feature.QMD.managed.CWHvm_CW_HW_M,27,270,10.0,0.0,10000.0,1.0,1.0,8.37600040435791,0.0
feature.QMD.managed.CWHvm_CW_HW_M,28,280,10.0,0.0,10000.0,1.0,1.0,3.7019999027252197,0.0
feature.QMD.managed.CWHvm_CW_HW_M,29,290,10.0,0.0,10000.0,1.0,1.0,5.553999900817871,0.0
feature.QMD.managed.CWHvm_CW_HW_M,30,300,10.0,0.0,10000.0,1.0,1.0,6.696000099182129,0.0
