TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.managed.CWHvm_FDC_HW_H,0,0,10.0,0.0,10000.0,1.0,1.0,29.121000289916992,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,1,10,10.0,0.0,10000.0,1.0,1.0,27.38599967956543,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,2,20,10.0,0.0,10000.0,1.0,1.0,24.433000564575195,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,3,30,10.0,0.0,10000.0,1.0,1.0,22.086000442504883,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,4,40,10.0,0.0,10000.0,1.0,1.0,23.01099967956543,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,5,50,10.0,0.0,10000.0,1.0,1.0,27.18000030517578,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,6,60,10.0,0.0,10000.0,1.0,1.0,28.527000427246094,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,7,70,10.0,0.0,10000.0,1.0,1.0,22.958999633789062,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,8,80,10.0,0.0,10000.0,1.0,1.0,24.09600067138672,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,9,90,10.0,0.0,10000.0,1.0,1.0,20.673999786376953,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,10,100,10.0,0.0,10000.0,1.0,1.0,22.54599952697754,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,11,110,10.0,0.0,10000.0,1.0,1.0,24.243000030517578,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,12,120,10.0,0.0,10000.0,1.0,1.0,24.202999114990234,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,13,130,10.0,0.0,10000.0,1.0,1.0,26.593000411987305,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,14,140,10.0,0.0,10000.0,1.0,1.0,22.110000610351562,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,15,150,10.0,0.0,10000.0,1.0,1.0,18.128999710083008,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,16,160,10.0,0.0,10000.0,1.0,1.0,21.826000213623047,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,17,170,10.0,0.0,10000.0,1.0,1.0,22.349000930786133,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,18,180,10.0,0.0,10000.0,1.0,1.0,24.75200080871582,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,19,190,10.0,0.0,10000.0,1.0,1.0,25.302000045776367,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,20,200,10.0,0.0,10000.0,1.0,1.0,27.652999877929688,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,21,210,10.0,0.0,10000.0,1.0,1.0,22.540000915527344,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,22,220,10.0,0.0,10000.0,1.0,1.0,17.35099983215332,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,23,230,10.0,0.0,10000.0,1.0,1.0,20.614999771118164,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,24,240,10.0,0.0,10000.0,1.0,1.0,19.222000122070312,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,25,250,10.0,0.0,10000.0,1.0,1.0,23.52199935913086,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,26,260,10.0,0.0,10000.0,1.0,1.0,24.743999481201172,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,27,270,10.0,0.0,10000.0,1.0,1.0,21.920000076293945,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,28,280,10.0,0.0,10000.0,1.0,1.0,23.94499969482422,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,29,290,10.0,0.0,10000.0,1.0,1.0,24.075000762939453,0.0
feature.QMD.managed.CWHvm_FDC_HW_H,30,300,10.0,0.0,10000.0,1.0,1.0,21.44300079345703,0.0
