TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.managed.CWHvm_HW_CW_H,0,0,10.0,0.0,10000.0,1.0,1.0,27.920000076293945,0.0
feature.QMD.managed.CWHvm_HW_CW_H,1,10,10.0,0.0,10000.0,1.0,1.0,25.283000946044922,0.0
feature.QMD.managed.CWHvm_HW_CW_H,2,20,10.0,0.0,10000.0,1.0,1.0,25.319000244140625,0.0
feature.QMD.managed.CWHvm_HW_CW_H,3,30,10.0,0.0,10000.0,1.0,1.0,27.16699981689453,0.0
feature.QMD.managed.CWHvm_HW_CW_H,4,40,10.0,0.0,10000.0,1.0,1.0,26.641000747680664,0.0
feature.QMD.managed.CWHvm_HW_CW_H,5,50,10.0,0.0,10000.0,1.0,1.0,27.579999923706055,0.0
feature.QMD.managed.CWHvm_HW_CW_H,6,60,10.0,0.0,10000.0,1.0,1.0,24.20599937438965,0.0
feature.QMD.managed.CWHvm_HW_CW_H,7,70,10.0,0.0,10000.0,1.0,1.0,15.755000114440918,0.0
feature.QMD.managed.CWHvm_HW_CW_H,8,80,10.0,0.0,10000.0,1.0,1.0,16.990999221801758,0.0
feature.QMD.managed.CWHvm_HW_CW_H,9,90,10.0,0.0,10000.0,1.0,1.0,20.948999404907227,0.0
feature.QMD.managed.CWHvm_HW_CW_H,10,100,10.0,0.0,10000.0,1.0,1.0,22.38800048828125,0.0
feature.QMD.managed.CWHvm_HW_CW_H,11,110,10.0,0.0,10000.0,1.0,1.0,21.989999771118164,0.0
feature.QMD.managed.CWHvm_HW_CW_H,12,120,10.0,0.0,10000.0,1.0,1.0,23.67300033569336,0.0
feature.QMD.managed.CWHvm_HW_CW_H,13,130,10.0,0.0,10000.0,1.0,1.0,25.94300079345703,0.0
feature.QMD.managed.CWHvm_HW_CW_H,14,140,10.0,0.0,10000.0,1.0,1.0,27.613000869750977,0.0
feature.QMD.managed.CWHvm_HW_CW_H,15,150,10.0,0.0,10000.0,1.0,1.0,28.68199920654297,0.0
feature.QMD.managed.CWHvm_HW_CW_H,16,160,10.0,0.0,10000.0,1.0,1.0,23.14699935913086,0.0
feature.QMD.managed.CWHvm_HW_CW_H,17,170,10.0,0.0,10000.0,1.0,1.0,23.67300033569336,0.0
feature.QMD.managed.CWHvm_HW_CW_H,18,180,10.0,0.0,10000.0,1.0,1.0,24.658000946044922,0.0
feature.QMD.managed.CWHvm_HW_CW_H,19,190,10.0,0.0,10000.0,1.0,1.0,16.084999084472656,0.0
feature.QMD.managed.CWHvm_HW_CW_H,20,200,10.0,0.0,10000.0,1.0,1.0,16.402000427246094,0.0
feature.QMD.managed.CWHvm_HW_CW_H,21,210,10.0,0.0,10000.0,1.0,1.0,17.15999984741211,0.0
feature.QMD.managed.CWHvm_HW_CW_H,22,220,10.0,0.0,10000.0,1.0,1.0,21.052000045776367,0.0
feature.QMD.managed.CWHvm_HW_CW_H,23,230,10.0,0.0,10000.0,1.0,1.0,24.184999465942383,0.0
feature.QMD.managed.CWHvm_HW_CW_H,24,240,10.0,0.0,10000.0,1.0,1.0,26.229000091552734,0.0
feature.QMD.managed.CWHvm_HW_CW_H,25,250,10.0,0.0,10000.0,1.0,1.0,27.611000061035156,0.0
feature.QMD.managed.CWHvm_HW_CW_H,26,260,10.0,0.0,10000.0,1.0,1.0,24.280000686645508,0.0
feature.QMD.managed.CWHvm_HW_CW_H,27,270,10.0,0.0,10000.0,1.0,1.0,24.976999282836914,0.0
feature.QMD.managed.CWHvm_HW_CW_H,28,280,10.0,0.0,10000.0,1.0,1.0,22.1200008392334,0.0
feature.QMD.managed.CWHvm_HW_CW_H,29,290,10.0,0.0,10000.0,1.0,1.0,14.248000144958496,0.0
feature.QMD.managed.CWHvm_HW_CW_H,30,300,10.0,0.0,10000.0,1.0,1.0,12.541000366210938,0.0
