TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.managed.CWHvm_HW_CW_M,0,0,10.0,0.0,10000.0,1.0,1.0,28.45199966430664,0.0
feature.QMD.managed.CWHvm_HW_CW_M,1,10,10.0,0.0,10000.0,1.0,1.0,24.415000915527344,0.0
feature.QMD.managed.CWHvm_HW_CW_M,2,20,10.0,0.0,10000.0,1.0,1.0,24.834999084472656,0.0
feature.QMD.managed.CWHvm_HW_CW_M,3,30,10.0,0.0,10000.0,1.0,1.0,22.444000244140625,0.0
feature.QMD.managed.CWHvm_HW_CW_M,4,40,10.0,0.0,10000.0,1.0,1.0,15.633000373840332,0.0
feature.QMD.managed.CWHvm_HW_CW_M,5,50,10.0,0.0,10000.0,1.0,1.0,17.215999603271484,0.0
feature.QMD.managed.CWHvm_HW_CW_M,6,60,10.0,0.0,10000.0,1.0,1.0,20.56800079345703,0.0
feature.QMD.managed.CWHvm_HW_CW_M,7,70,10.0,0.0,10000.0,1.0,1.0,23.518999099731445,0.0
feature.QMD.managed.CWHvm_HW_CW_M,8,80,10.0,0.0,10000.0,1.0,1.0,25.31399917602539,0.0
feature.QMD.managed.CWHvm_HW_CW_M,9,90,10.0,0.0,10000.0,1.0,1.0,26.52400016784668,0.0
feature.QMD.managed.CWHvm_HW_CW_M,10,100,10.0,0.0,10000.0,1.0,1.0,27.445999145507812,0.0
feature.QMD.managed.CWHvm_HW_CW_M,11,110,10.0,0.0,10000.0,1.0,1.0,28.23699951171875,0.0
feature.QMD.managed.CWHvm_HW_CW_M,12,120,10.0,0.0,10000.0,1.0,1.0,28.81399917602539,0.0
feature.QMD.managed.CWHvm_HW_CW_M,13,130,10.0,0.0,10000.0,1.0,1.0,28.226999282836914,0.0
feature.QMD.managed.CWHvm_HW_CW_M,14,140,10.0,0.0,10000.0,1.0,1.0,28.594999313354492,0.0
feature.QMD.managed.CWHvm_HW_CW_M,15,150,10.0,0.0,10000.0,1.0,1.0,19.190000534057617,0.0
feature.QMD.managed.CWHvm_HW_CW_M,16,160,10.0,0.0,10000.0,1.0,1.0,15.543000221252441,0.0
feature.QMD.managed.CWHvm_HW_CW_M,17,170,10.0,0.0,10000.0,1.0,1.0,16.930999755859375,0.0
feature.QMD.managed.CWHvm_HW_CW_M,18,180,10.0,0.0,10000.0,1.0,1.0,19.709999084472656,0.0
feature.QMD.managed.CWHvm_HW_CW_M,19,190,10.0,0.0,10000.0,1.0,1.0,22.66900062561035,0.0
feature.QMD.managed.CWHvm_HW_CW_M,20,200,10.0,0.0,10000.0,1.0,1.0,24.839000701904297,0.0
feature.QMD.managed.CWHvm_HW_CW_M,21,210,10.0,0.0,10000.0,1.0,1.0,26.18199920654297,0.0
feature.QMD.managed.CWHvm_HW_CW_M,22,220,10.0,0.0,10000.0,1.0,1.0,27.18400001525879,0.0
feature.QMD.managed.CWHvm_HW_CW_M,23,230,10.0,0.0,10000.0,1.0,1.0,27.93600082397461,0.0
feature.QMD.managed.CWHvm_HW_CW_M,24,240,10.0,0.0,10000.0,1.0,1.0,28.56999969482422,0.0
feature.QMD.managed.CWHvm_HW_CW_M,25,250,10.0,0.0,10000.0,1.0,1.0,27.98900032043457,0.0
feature.QMD.managed.CWHvm_HW_CW_M,26,260,10.0,0.0,10000.0,1.0,1.0,21.566999435424805,0.0
feature.QMD.managed.CWHvm_HW_CW_M,27,270,10.0,0.0,10000.0,1.0,1.0,21.740999221801758,0.0
feature.QMD.managed.CWHvm_HW_CW_M,28,280,10.0,0.0,10000.0,1.0,1.0,19.32200050354004,0.0
feature.QMD.managed.CWHvm_HW_CW_M,29,290,10.0,0.0,10000.0,1.0,1.0,18.163999557495117,0.0
feature.QMD.managed.CWHvm_HW_CW_M,30,300,10.0,0.0,10000.0,1.0,1.0,18.827999114990234,0.0
