TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.managed.CWHvm_HW_FDC_H,0,0,10.0,0.0,10000.0,1.0,1.0,30.618999481201172,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,1,10,10.0,0.0,10000.0,1.0,1.0,31.148000717163086,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,2,20,10.0,0.0,10000.0,1.0,1.0,29.47100067138672,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,3,30,10.0,0.0,10000.0,1.0,1.0,28.57900047302246,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,4,40,10.0,0.0,10000.0,1.0,1.0,27.69499969482422,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,5,50,10.0,0.0,10000.0,1.0,1.0,25.542999267578125,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,6,60,10.0,0.0,10000.0,1.0,1.0,25.58799934387207,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,7,70,10.0,0.0,10000.0,1.0,1.0,28.917999267578125,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,8,80,10.0,0.0,10000.0,1.0,1.0,31.007999420166016,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,9,90,10.0,0.0,10000.0,1.0,1.0,30.339000701904297,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,10,100,10.0,0.0,10000.0,1.0,1.0,28.493999481201172,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,11,110,10.0,0.0,10000.0,1.0,1.0,29.94700050354004,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,12,120,10.0,0.0,10000.0,1.0,1.0,27.783000946044922,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,13,130,10.0,0.0,10000.0,1.0,1.0,25.986000061035156,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,14,140,10.0,0.0,10000.0,1.0,1.0,26.656999588012695,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,15,150,10.0,0.0,10000.0,1.0,1.0,26.725000381469727,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,16,160,10.0,0.0,10000.0,1.0,1.0,29.492000579833984,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,17,170,10.0,0.0,10000.0,1.0,1.0,27.701000213623047,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,18,180,10.0,0.0,10000.0,1.0,1.0,26.61400032043457,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,19,190,10.0,0.0,10000.0,1.0,1.0,27.69700050354004,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,20,200,10.0,0.0,10000.0,1.0,1.0,27.34600067138672,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,21,210,10.0,0.0,10000.0,1.0,1.0,27.57699966430664,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,22,220,10.0,0.0,10000.0,1.0,1.0,29.545000076293945,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,23,230,10.0,0.0,10000.0,1.0,1.0,27.891000747680664,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,24,240,10.0,0.0,10000.0,1.0,1.0,25.958999633789062,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,25,250,10.0,0.0,10000.0,1.0,1.0,22.75200080871582,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,26,260,10.0,0.0,10000.0,1.0,1.0,24.93899917602539,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,27,270,10.0,0.0,10000.0,1.0,1.0,25.621000289916992,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,28,280,10.0,0.0,10000.0,1.0,1.0,24.457000732421875,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,29,290,10.0,0.0,10000.0,1.0,1.0,25.788000106811523,0.0
feature.QMD.managed.CWHvm_HW_FDC_H,30,300,10.0,0.0,10000.0,1.0,1.0,26.687999725341797,0.0
