TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.managed.CWHvm_HW_FDC_L,0,0,10.0,0.0,10000.0,1.0,1.0,27.426000595092773,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,1,10,10.0,0.0,10000.0,1.0,1.0,27.527000427246094,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,2,20,10.0,0.0,10000.0,1.0,1.0,26.71299934387207,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,3,30,10.0,0.0,10000.0,1.0,1.0,27.535999298095703,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,4,40,10.0,0.0,10000.0,1.0,1.0,29.006999969482422,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,5,50,10.0,0.0,10000.0,1.0,1.0,28.52899932861328,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,6,60,10.0,0.0,10000.0,1.0,1.0,24.875999450683594,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,7,70,10.0,0.0,10000.0,1.0,1.0,23.52899932861328,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,8,80,10.0,0.0,10000.0,1.0,1.0,24.65399932861328,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,9,90,10.0,0.0,10000.0,1.0,1.0,25.7189998626709,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,10,100,10.0,0.0,10000.0,1.0,1.0,27.499000549316406,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,11,110,10.0,0.0,10000.0,1.0,1.0,26.972999572753906,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,12,120,10.0,0.0,10000.0,1.0,1.0,27.77400016784668,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,13,130,10.0,0.0,10000.0,1.0,1.0,28.913999557495117,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,14,140,10.0,0.0,10000.0,1.0,1.0,30.172000885009766,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,15,150,10.0,0.0,10000.0,1.0,1.0,30.207000732421875,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,16,160,10.0,0.0,10000.0,1.0,1.0,27.64900016784668,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,17,170,10.0,0.0,10000.0,1.0,1.0,28.143999099731445,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,18,180,10.0,0.0,10000.0,1.0,1.0,26.354999542236328,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,19,190,10.0,0.0,10000.0,1.0,1.0,25.77400016784668,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,20,200,10.0,0.0,10000.0,1.0,1.0,24.576000213623047,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,21,210,10.0,0.0,10000.0,1.0,1.0,24.399999618530273,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,22,220,10.0,0.0,10000.0,1.0,1.0,25.985000610351562,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,23,230,10.0,0.0,10000.0,1.0,1.0,28.058000564575195,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,24,240,10.0,0.0,10000.0,1.0,1.0,29.613000869750977,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,25,250,10.0,0.0,10000.0,1.0,1.0,29.695999145507812,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,26,260,10.0,0.0,10000.0,1.0,1.0,26.13599967956543,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,27,270,10.0,0.0,10000.0,1.0,1.0,26.59600067138672,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,28,280,10.0,0.0,10000.0,1.0,1.0,27.6200008392334,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,29,290,10.0,0.0,10000.0,1.0,1.0,25.58799934387207,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,30,300,10.0,0.0,10000.0,1.0,1.0,22.888999938964844,0.0
