TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.managed.CWHvm_HW_SS_M,0,0,10.0,0.0,10000.0,1.0,1.0,30.259000778198242,0.0
feature.QMD.managed.CWHvm_HW_SS_M,1,10,10.0,0.0,10000.0,1.0,1.0,31.961999893188477,0.0
feature.QMD.managed.CWHvm_HW_SS_M,2,20,10.0,0.0,10000.0,1.0,1.0,33.099998474121094,0.0
feature.QMD.managed.CWHvm_HW_SS_M,3,30,10.0,0.0,10000.0,1.0,1.0,33.9640007019043,0.0
feature.QMD.managed.CWHvm_HW_SS_M,4,40,10.0,0.0,10000.0,1.0,1.0,29.643999099731445,0.0
feature.QMD.managed.CWHvm_HW_SS_M,5,50,10.0,0.0,10000.0,1.0,1.0,29.43600082397461,0.0
feature.QMD.managed.CWHvm_HW_SS_M,6,60,10.0,0.0,10000.0,1.0,1.0,31.698999404907227,0.0
feature.QMD.managed.CWHvm_HW_SS_M,7,70,10.0,0.0,10000.0,1.0,1.0,33.347999572753906,0.0
feature.QMD.managed.CWHvm_HW_SS_M,8,80,10.0,0.0,10000.0,1.0,1.0,4.916999816894531,0.0
feature.QMD.managed.CWHvm_HW_SS_M,9,90,10.0,0.0,10000.0,1.0,1.0,9.465999603271484,0.0
feature.QMD.managed.CWHvm_HW_SS_M,10,100,10.0,0.0,10000.0,1.0,1.0,19.479000091552734,0.0
feature.QMD.managed.CWHvm_HW_SS_M,11,110,10.0,0.0,10000.0,1.0,1.0,24.73900032043457,0.0
feature.QMD.managed.CWHvm_HW_SS_M,12,120,10.0,0.0,10000.0,1.0,1.0,22.941999435424805,0.0
feature.QMD.managed.CWHvm_HW_SS_M,13,130,10.0,0.0,10000.0,1.0,1.0,23.680999755859375,0.0
feature.QMD.managed.CWHvm_HW_SS_M,14,140,10.0,0.0,10000.0,1.0,1.0,26.01099967956543,0.0
feature.QMD.managed.CWHvm_HW_SS_M,15,150,10.0,0.0,10000.0,1.0,1.0,29.351999282836914,0.0
feature.QMD.managed.CWHvm_HW_SS_M,16,160,10.0,0.0,10000.0,1.0,1.0,31.385000228881836,0.0
feature.QMD.managed.CWHvm_HW_SS_M,17,170,10.0,0.0,10000.0,1.0,1.0,32.77799987792969,0.0
feature.QMD.managed.CWHvm_HW_SS_M,18,180,10.0,0.0,10000.0,1.0,1.0,5.511000156402588,0.0
feature.QMD.managed.CWHvm_HW_SS_M,19,190,10.0,0.0,10000.0,1.0,1.0,7.2170000076293945,0.0
feature.QMD.managed.CWHvm_HW_SS_M,20,200,10.0,0.0,10000.0,1.0,1.0,13.694000244140625,0.0
feature.QMD.managed.CWHvm_HW_SS_M,21,210,10.0,0.0,10000.0,1.0,1.0,17.336999893188477,0.0
feature.QMD.managed.CWHvm_HW_SS_M,22,220,10.0,0.0,10000.0,1.0,1.0,19.875999450683594,0.0
feature.QMD.managed.CWHvm_HW_SS_M,23,230,10.0,0.0,10000.0,1.0,1.0,23.32900047302246,0.0
feature.QMD.managed.CWHvm_HW_SS_M,24,240,10.0,0.0,10000.0,1.0,1.0,27.3439998626709,0.0
feature.QMD.managed.CWHvm_HW_SS_M,25,250,10.0,0.0,10000.0,1.0,1.0,29.996999740600586,0.0
feature.QMD.managed.CWHvm_HW_SS_M,26,260,10.0,0.0,10000.0,1.0,1.0,5.020999908447266,0.0
feature.QMD.managed.CWHvm_HW_SS_M,27,270,10.0,0.0,10000.0,1.0,1.0,5.531000137329102,0.0
feature.QMD.managed.CWHvm_HW_SS_M,28,280,10.0,0.0,10000.0,1.0,1.0,10.348999977111816,0.0
feature.QMD.managed.CWHvm_HW_SS_M,29,290,10.0,0.0,10000.0,1.0,1.0,15.97599983215332,0.0
feature.QMD.managed.CWHvm_HW_SS_M,30,300,10.0,0.0,10000.0,1.0,1.0,19.025999069213867,0.0
