TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.unmanaged.CWHvm_DR_HW_M,0,0,10.0,0.0,10000.0,1.0,1.0,32.71900177001953,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,1,10,10.0,0.0,10000.0,1.0,1.0,33.16299819946289,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,2,20,10.0,0.0,10000.0,1.0,1.0,33.066001892089844,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,3,30,10.0,0.0,10000.0,1.0,1.0,32.555999755859375,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,4,40,10.0,0.0,10000.0,1.0,1.0,31.790000915527344,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,5,50,10.0,0.0,10000.0,1.0,1.0,30.849000930786133,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,6,60,10.0,0.0,10000.0,1.0,1.0,29.759000778198242,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,7,70,10.0,0.0,10000.0,1.0,1.0,28.551000595092773,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,8,80,10.0,0.0,10000.0,1.0,1.0,27.301000595092773,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,9,90,10.0,0.0,10000.0,1.0,1.0,26.051000595092773,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,10,100,10.0,0.0,10000.0,1.0,1.0,24.773000717163086,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,11,110,10.0,0.0,10000.0,1.0,1.0,23.472999572753906,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,12,120,10.0,0.0,10000.0,1.0,1.0,22.200000762939453,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,13,130,10.0,0.0,10000.0,1.0,1.0,20.979999542236328,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,14,140,10.0,0.0,10000.0,1.0,1.0,19.841999053955078,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,15,150,10.0,0.0,10000.0,1.0,1.0,18.920000076293945,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,16,160,10.0,0.0,10000.0,1.0,1.0,18.357999801635742,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,17,170,10.0,0.0,10000.0,1.0,1.0,17.954999923706055,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,18,180,10.0,0.0,10000.0,1.0,1.0,17.468000411987305,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,19,190,10.0,0.0,10000.0,1.0,1.0,16.97599983215332,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,20,200,10.0,0.0,10000.0,1.0,1.0,16.527000427246094,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,21,210,10.0,0.0,10000.0,1.0,1.0,16.076000213623047,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,22,220,10.0,0.0,10000.0,1.0,1.0,15.657999992370605,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,23,230,10.0,0.0,10000.0,1.0,1.0,15.258000373840332,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,24,240,10.0,0.0,10000.0,1.0,1.0,14.878999710083008,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,25,250,10.0,0.0,10000.0,1.0,1.0,14.645000457763672,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,26,260,10.0,0.0,10000.0,1.0,1.0,14.595999717712402,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,27,270,10.0,0.0,10000.0,1.0,1.0,14.595999717712402,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,28,280,10.0,0.0,10000.0,1.0,1.0,14.595999717712402,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,29,290,10.0,0.0,10000.0,1.0,1.0,14.595999717712402,0.0
feature.QMD.unmanaged.CWHvm_DR_HW_M,30,300,10.0,0.0,10000.0,1.0,1.0,14.595999717712402,0.0
