TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.unmanaged.CWHvm_FDC_HW_L,0,0,10.0,0.0,10000.0,1.0,1.0,20.016000747680664,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,1,10,10.0,0.0,10000.0,1.0,1.0,24.256000518798828,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,2,20,10.0,0.0,10000.0,1.0,1.0,27.71500015258789,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,3,30,10.0,0.0,10000.0,1.0,1.0,30.385000228881836,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,4,40,10.0,0.0,10000.0,1.0,1.0,32.39500045776367,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,5,50,10.0,0.0,10000.0,1.0,1.0,33.880001068115234,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,6,60,10.0,0.0,10000.0,1.0,1.0,34.91899871826172,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,7,70,10.0,0.0,10000.0,1.0,1.0,35.555999755859375,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,8,80,10.0,0.0,10000.0,1.0,1.0,35.880001068115234,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,9,90,10.0,0.0,10000.0,1.0,1.0,35.98500061035156,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,10,100,10.0,0.0,10000.0,1.0,1.0,35.86399841308594,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,11,110,10.0,0.0,10000.0,1.0,1.0,35.54899978637695,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,12,120,10.0,0.0,10000.0,1.0,1.0,35.111000061035156,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,13,130,10.0,0.0,10000.0,1.0,1.0,34.54600143432617,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,14,140,10.0,0.0,10000.0,1.0,1.0,33.84000015258789,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,15,150,10.0,0.0,10000.0,1.0,1.0,33.02399826049805,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,16,160,10.0,0.0,10000.0,1.0,1.0,32.154998779296875,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,17,170,10.0,0.0,10000.0,1.0,1.0,31.30699920654297,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,18,180,10.0,0.0,10000.0,1.0,1.0,30.56100082397461,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,19,190,10.0,0.0,10000.0,1.0,1.0,29.878999710083008,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,20,200,10.0,0.0,10000.0,1.0,1.0,29.2450008392334,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,21,210,10.0,0.0,10000.0,1.0,1.0,28.658000946044922,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,22,220,10.0,0.0,10000.0,1.0,1.0,28.084999084472656,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,23,230,10.0,0.0,10000.0,1.0,1.0,27.547000885009766,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,24,240,10.0,0.0,10000.0,1.0,1.0,27.03700065612793,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,25,250,10.0,0.0,10000.0,1.0,1.0,26.743999481201172,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,26,260,10.0,0.0,10000.0,1.0,1.0,26.695999145507812,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,27,270,10.0,0.0,10000.0,1.0,1.0,26.695999145507812,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,28,280,10.0,0.0,10000.0,1.0,1.0,26.695999145507812,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,29,290,10.0,0.0,10000.0,1.0,1.0,26.695999145507812,0.0
feature.QMD.unmanaged.CWHvm_FDC_HW_L,30,300,10.0,0.0,10000.0,1.0,1.0,26.695999145507812,0.0
