TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.unmanaged.CWHvm_HW_CW_M,0,0,10.0,0.0,10000.0,1.0,1.0,28.687999725341797,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,1,10,10.0,0.0,10000.0,1.0,1.0,29.87700080871582,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,2,20,10.0,0.0,10000.0,1.0,1.0,30.67799949645996,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,3,30,10.0,0.0,10000.0,1.0,1.0,31.107999801635742,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,4,40,10.0,0.0,10000.0,1.0,1.0,31.266000747680664,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,5,50,10.0,0.0,10000.0,1.0,1.0,31.211000442504883,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,6,60,10.0,0.0,10000.0,1.0,1.0,30.99799919128418,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,7,70,10.0,0.0,10000.0,1.0,1.0,30.655000686645508,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,8,80,10.0,0.0,10000.0,1.0,1.0,30.195999145507812,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,9,90,10.0,0.0,10000.0,1.0,1.0,29.68600082397461,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,10,100,10.0,0.0,10000.0,1.0,1.0,29.172000885009766,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,11,110,10.0,0.0,10000.0,1.0,1.0,28.60099983215332,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,12,120,10.0,0.0,10000.0,1.0,1.0,28.014999389648438,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,13,130,10.0,0.0,10000.0,1.0,1.0,27.493000030517578,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,14,140,10.0,0.0,10000.0,1.0,1.0,26.993000030517578,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,15,150,10.0,0.0,10000.0,1.0,1.0,26.493000030517578,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,16,160,10.0,0.0,10000.0,1.0,1.0,25.988000869750977,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,17,170,10.0,0.0,10000.0,1.0,1.0,25.534000396728516,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,18,180,10.0,0.0,10000.0,1.0,1.0,25.238000869750977,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,19,190,10.0,0.0,10000.0,1.0,1.0,25.0049991607666,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,20,200,10.0,0.0,10000.0,1.0,1.0,24.77899932861328,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,21,210,10.0,0.0,10000.0,1.0,1.0,24.576000213623047,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,22,220,10.0,0.0,10000.0,1.0,1.0,24.382999420166016,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,23,230,10.0,0.0,10000.0,1.0,1.0,24.197999954223633,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,24,240,10.0,0.0,10000.0,1.0,1.0,24.024999618530273,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,25,250,10.0,0.0,10000.0,1.0,1.0,23.95199966430664,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,26,260,10.0,0.0,10000.0,1.0,1.0,23.906999588012695,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,27,270,10.0,0.0,10000.0,1.0,1.0,23.898000717163086,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,28,280,10.0,0.0,10000.0,1.0,1.0,23.898000717163086,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,29,290,10.0,0.0,10000.0,1.0,1.0,23.898000717163086,0.0
feature.QMD.unmanaged.CWHvm_HW_CW_M,30,300,10.0,0.0,10000.0,1.0,1.0,23.898000717163086,0.0
