TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_FDC_HW_H.immature,0,0,10.0,0.0,10000.0,1.0,1.0,182.99099731445312,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,1,10,10.0,0.0,10000.0,1.0,1.0,158.177001953125,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,2,20,10.0,0.0,10000.0,1.0,1.0,93.58200073242188,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,4,40,10.0,0.0,10000.0,1.0,1.0,34.13600158691406,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,5,50,10.0,0.0,10000.0,1.0,1.0,67.78099822998047,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,6,60,10.0,0.0,10000.0,1.0,1.0,84.875,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,7,70,10.0,0.0,10000.0,1.0,1.0,84.875,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,8,80,10.0,0.0,10000.0,1.0,1.0,57.29600143432617,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,9,90,10.0,0.0,10000.0,1.0,1.0,73.31800079345703,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,10,100,10.0,0.0,10000.0,1.0,1.0,62.880001068115234,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,11,110,10.0,0.0,10000.0,1.0,1.0,67.47000122070312,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,12,120,10.0,0.0,10000.0,1.0,1.0,93.77799987792969,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,13,130,10.0,0.0,10000.0,1.0,1.0,93.85600280761719,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,14,140,10.0,0.0,10000.0,1.0,1.0,67.78099822998047,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,15,150,10.0,0.0,10000.0,1.0,1.0,61.83300018310547,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,16,160,10.0,0.0,10000.0,1.0,1.0,35.525001525878906,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,17,170,10.0,0.0,10000.0,1.0,1.0,88.53800201416016,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,18,180,10.0,0.0,10000.0,1.0,1.0,84.56400299072266,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,19,190,10.0,0.0,10000.0,1.0,1.0,110.87200164794922,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,20,200,10.0,0.0,10000.0,1.0,1.0,93.77799987792969,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,21,210,10.0,0.0,10000.0,1.0,1.0,78.72899627685547,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,22,220,10.0,0.0,10000.0,1.0,1.0,44.73899841308594,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,23,230,10.0,0.0,10000.0,1.0,1.0,58.60100173950195,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,24,240,10.0,0.0,10000.0,1.0,1.0,58.56700134277344,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,25,250,10.0,0.0,10000.0,1.0,1.0,96.43800354003906,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,26,260,10.0,0.0,10000.0,1.0,1.0,90.4530029296875,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,27,270,10.0,0.0,10000.0,1.0,1.0,89.18800354003906,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,28,280,10.0,0.0,10000.0,1.0,1.0,70.73600006103516,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,29,290,10.0,0.0,10000.0,1.0,1.0,84.5979995727539,0.0
feature.Seral.CWHvm_FDC_HW_H.immature,30,300,10.0,0.0,10000.0,1.0,1.0,46.672000885009766,0.0
