TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_FDC_HW_H.mature,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,1,10,10.0,0.0,10000.0,1.0,1.0,5.8979997634887695,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,2,20,10.0,0.0,10000.0,1.0,1.0,48.63800048828125,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,3,30,10.0,0.0,10000.0,1.0,1.0,115.20999908447266,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,4,40,10.0,0.0,10000.0,1.0,1.0,98.11599731445312,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,5,50,10.0,0.0,10000.0,1.0,1.0,98.11599731445312,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,6,60,10.0,0.0,10000.0,1.0,1.0,91.55899810791016,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,7,70,10.0,0.0,10000.0,1.0,1.0,53.6879997253418,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,8,80,10.0,0.0,10000.0,1.0,1.0,72.60399627685547,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,9,90,10.0,0.0,10000.0,1.0,1.0,60.323001861572266,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,10,100,10.0,0.0,10000.0,1.0,1.0,65.48400115966797,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,11,110,10.0,0.0,10000.0,1.0,1.0,70.78199768066406,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,12,120,10.0,0.0,10000.0,1.0,1.0,53.6879997253418,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,13,130,10.0,0.0,10000.0,1.0,1.0,60.244998931884766,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,14,140,10.0,0.0,10000.0,1.0,1.0,55.71099853515625,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,16,160,10.0,0.0,10000.0,1.0,1.0,18.916000366210938,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,17,170,10.0,0.0,10000.0,1.0,1.0,6.635000228881836,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,18,180,10.0,0.0,10000.0,1.0,1.0,11.795999526977539,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,20,200,10.0,0.0,10000.0,1.0,1.0,17.0939998626709,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,22,220,10.0,0.0,10000.0,1.0,1.0,6.557000160217285,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,23,230,10.0,0.0,10000.0,1.0,1.0,6.557000160217285,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,26,260,10.0,0.0,10000.0,1.0,1.0,18.430999755859375,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,28,280,10.0,0.0,10000.0,1.0,1.0,17.0939998626709,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.mature,30,300,10.0,0.0,10000.0,1.0,1.0,37.87099838256836,0.0
