TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_FDC_HW_H.regenerating,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,1,10,10.0,0.0,10000.0,1.0,1.0,18.916000366210938,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,2,20,10.0,0.0,10000.0,1.0,1.0,6.635000228881836,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,8,80,10.0,0.0,10000.0,1.0,1.0,13.862000465393066,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,9,90,10.0,0.0,10000.0,1.0,1.0,26.308000564575195,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,10,100,10.0,0.0,10000.0,1.0,1.0,6.635000228881836,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,11,110,10.0,0.0,10000.0,1.0,1.0,11.795999526977539,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,12,120,10.0,0.0,10000.0,1.0,1.0,17.0939998626709,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,14,140,10.0,0.0,10000.0,1.0,1.0,37.87099838256836,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,15,150,10.0,0.0,10000.0,1.0,1.0,7.822000026702881,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,16,160,10.0,0.0,10000.0,1.0,1.0,7.392000198364258,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,18,180,10.0,0.0,10000.0,1.0,1.0,6.635000228881836,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,19,190,10.0,0.0,10000.0,1.0,1.0,11.795999526977539,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,21,210,10.0,0.0,10000.0,1.0,1.0,24.916000366210938,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,22,220,10.0,0.0,10000.0,1.0,1.0,37.87099838256836,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,24,240,10.0,0.0,10000.0,1.0,1.0,6.557000160217285,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,26,260,10.0,0.0,10000.0,1.0,1.0,13.862000465393066,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,27,270,10.0,0.0,10000.0,1.0,1.0,26.253000259399414,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,28,280,10.0,0.0,10000.0,1.0,1.0,1.3580000400543213,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,29,290,10.0,0.0,10000.0,1.0,1.0,17.0939998626709,0.0
feature.Seral.CWHvm_FDC_HW_H.regenerating,30,300,10.0,0.0,10000.0,1.0,1.0,7.392000198364258,0.0
