TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_CW_L.immature,0,0,10.0,0.0,10000.0,1.0,1.0,5.120999813079834,0.0
feature.Seral.CWHvm_HW_CW_L.immature,1,10,10.0,0.0,10000.0,1.0,1.0,5.120999813079834,0.0
feature.Seral.CWHvm_HW_CW_L.immature,2,20,10.0,0.0,10000.0,1.0,1.0,5.120999813079834,0.0
feature.Seral.CWHvm_HW_CW_L.immature,3,30,10.0,0.0,10000.0,1.0,1.0,9.727999687194824,0.0
feature.Seral.CWHvm_HW_CW_L.immature,4,40,10.0,0.0,10000.0,1.0,1.0,7.664000034332275,0.0
feature.Seral.CWHvm_HW_CW_L.immature,5,50,10.0,0.0,10000.0,1.0,1.0,4.60699987411499,0.0
feature.Seral.CWHvm_HW_CW_L.immature,6,60,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,7,70,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,8,80,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,9,90,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,10,100,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,11,110,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,12,120,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,13,130,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,14,140,10.0,0.0,10000.0,1.0,1.0,2.063999891281128,0.0
feature.Seral.CWHvm_HW_CW_L.immature,15,150,10.0,0.0,10000.0,1.0,1.0,2.063999891281128,0.0
feature.Seral.CWHvm_HW_CW_L.immature,16,160,10.0,0.0,10000.0,1.0,1.0,5.947000026702881,0.0
feature.Seral.CWHvm_HW_CW_L.immature,17,170,10.0,0.0,10000.0,1.0,1.0,3.882999897003174,0.0
feature.Seral.CWHvm_HW_CW_L.immature,18,180,10.0,0.0,10000.0,1.0,1.0,4.60699987411499,0.0
feature.Seral.CWHvm_HW_CW_L.immature,19,190,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,20,200,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,21,210,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,22,220,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,23,230,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,24,240,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,25,250,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,26,260,10.0,0.0,10000.0,1.0,1.0,6.671000003814697,0.0
feature.Seral.CWHvm_HW_CW_L.immature,27,270,10.0,0.0,10000.0,1.0,1.0,2.7880001068115234,0.0
feature.Seral.CWHvm_HW_CW_L.immature,28,280,10.0,0.0,10000.0,1.0,1.0,2.7880001068115234,0.0
feature.Seral.CWHvm_HW_CW_L.immature,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_L.immature,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
