TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_FDC_H.regenerating,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,2,20,10.0,0.0,10000.0,1.0,1.0,12.916000366210938,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,3,30,10.0,0.0,10000.0,1.0,1.0,12.567999839782715,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,4,40,10.0,0.0,10000.0,1.0,1.0,21.304000854492188,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,5,50,10.0,0.0,10000.0,1.0,1.0,12.302000045776367,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,6,60,10.0,0.0,10000.0,1.0,1.0,8.9399995803833,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,10,100,10.0,0.0,10000.0,1.0,1.0,20.61400032043457,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,11,110,10.0,0.0,10000.0,1.0,1.0,5.8470001220703125,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,12,120,10.0,0.0,10000.0,1.0,1.0,30.197999954223633,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,13,130,10.0,0.0,10000.0,1.0,1.0,2.9679999351501465,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,14,140,10.0,0.0,10000.0,1.0,1.0,2.941999912261963,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,15,150,10.0,0.0,10000.0,1.0,1.0,13.232999801635742,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,17,170,10.0,0.0,10000.0,1.0,1.0,41.5989990234375,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,18,180,10.0,0.0,10000.0,1.0,1.0,15.914999961853027,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,19,190,10.0,0.0,10000.0,1.0,1.0,6.394999980926514,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,20,200,10.0,0.0,10000.0,1.0,1.0,31.31599998474121,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,21,210,10.0,0.0,10000.0,1.0,1.0,13.295999526977539,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,22,220,10.0,0.0,10000.0,1.0,1.0,2.9679999351501465,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,23,230,10.0,0.0,10000.0,1.0,1.0,43.231998443603516,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,24,240,10.0,0.0,10000.0,1.0,1.0,36.25299835205078,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,25,250,10.0,0.0,10000.0,1.0,1.0,57.0880012512207,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,26,260,10.0,0.0,10000.0,1.0,1.0,4.698999881744385,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,27,270,10.0,0.0,10000.0,1.0,1.0,28.513999938964844,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,28,280,10.0,0.0,10000.0,1.0,1.0,44.68899917602539,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,29,290,10.0,0.0,10000.0,1.0,1.0,9.07800006866455,0.0
feature.Seral.CWHvm_HW_FDC_H.regenerating,30,300,10.0,0.0,10000.0,1.0,1.0,21.222999572753906,0.0
