TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_FDC_L.immature,0,0,10.0,0.0,10000.0,1.0,1.0,96.09500122070312,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,1,10,10.0,0.0,10000.0,1.0,1.0,90.5479965209961,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,2,20,10.0,0.0,10000.0,1.0,1.0,84.11199951171875,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,3,30,10.0,0.0,10000.0,1.0,1.0,87.74299621582031,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,4,40,10.0,0.0,10000.0,1.0,1.0,90.50700378417969,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,5,50,10.0,0.0,10000.0,1.0,1.0,30.079999923706055,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,6,60,10.0,0.0,10000.0,1.0,1.0,17.66699981689453,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,7,70,10.0,0.0,10000.0,1.0,1.0,21.9950008392334,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,8,80,10.0,0.0,10000.0,1.0,1.0,46.17499923706055,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,9,90,10.0,0.0,10000.0,1.0,1.0,47.23400115966797,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,10,100,10.0,0.0,10000.0,1.0,1.0,54.75699996948242,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,11,110,10.0,0.0,10000.0,1.0,1.0,45.74700164794922,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,12,120,10.0,0.0,10000.0,1.0,1.0,49.19499969482422,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,13,130,10.0,0.0,10000.0,1.0,1.0,50.20600128173828,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,14,140,10.0,0.0,10000.0,1.0,1.0,59.215999603271484,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,15,150,10.0,0.0,10000.0,1.0,1.0,56.98699951171875,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,16,160,10.0,0.0,10000.0,1.0,1.0,32.80699920654297,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,17,170,10.0,0.0,10000.0,1.0,1.0,22.479999542236328,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,18,180,10.0,0.0,10000.0,1.0,1.0,16.447999954223633,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,19,190,10.0,0.0,10000.0,1.0,1.0,31.27199935913086,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,20,200,10.0,0.0,10000.0,1.0,1.0,23.825000762939453,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,21,210,10.0,0.0,10000.0,1.0,1.0,40.862998962402344,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,22,220,10.0,0.0,10000.0,1.0,1.0,44.38199996948242,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,23,230,10.0,0.0,10000.0,1.0,1.0,56.641998291015625,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,24,240,10.0,0.0,10000.0,1.0,1.0,61.314998626708984,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,25,250,10.0,0.0,10000.0,1.0,1.0,56.98699951171875,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,26,260,10.0,0.0,10000.0,1.0,1.0,36.61600112915039,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,27,270,10.0,0.0,10000.0,1.0,1.0,36.61600112915039,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,28,280,10.0,0.0,10000.0,1.0,1.0,37.856998443603516,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,29,290,10.0,0.0,10000.0,1.0,1.0,32.762001037597656,0.0
feature.Seral.CWHvm_HW_FDC_L.immature,30,300,10.0,0.0,10000.0,1.0,1.0,24.698999404907227,0.0
