TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_H.managed.Total.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_H.managed.Total.CC,1,10,10.0,0.0,10000.0,1.0,1.0,23034.296875,0.0
product.Logs_Grade_H.managed.Total.CC,2,20,10.0,0.0,10000.0,1.0,1.0,23939.21875,0.0
product.Logs_Grade_H.managed.Total.CC,3,30,10.0,0.0,10000.0,1.0,1.0,24729.962890625,0.0
product.Logs_Grade_H.managed.Total.CC,4,40,10.0,0.0,10000.0,1.0,1.0,23128.65625,0.0
product.Logs_Grade_H.managed.Total.CC,5,50,10.0,0.0,10000.0,1.0,1.0,28452.0390625,0.0
product.Logs_Grade_H.managed.Total.CC,6,60,10.0,0.0,10000.0,1.0,1.0,29884.017578125,0.0
product.Logs_Grade_H.managed.Total.CC,7,70,10.0,0.0,10000.0,1.0,1.0,27555.9765625,0.0
product.Logs_Grade_H.managed.Total.CC,8,80,10.0,0.0,10000.0,1.0,1.0,22139.52734375,0.0
product.Logs_Grade_H.managed.Total.CC,9,90,10.0,0.0,10000.0,1.0,1.0,27131.921875,0.0
product.Logs_Grade_H.managed.Total.CC,10,100,10.0,0.0,10000.0,1.0,1.0,13699.994140625,0.0
product.Logs_Grade_H.managed.Total.CC,11,110,10.0,0.0,10000.0,1.0,1.0,9685.041015625,0.0
product.Logs_Grade_H.managed.Total.CC,12,120,10.0,0.0,10000.0,1.0,1.0,21187.189453125,0.0
product.Logs_Grade_H.managed.Total.CC,13,130,10.0,0.0,10000.0,1.0,1.0,42247.05078125,0.0
product.Logs_Grade_H.managed.Total.CC,14,140,10.0,0.0,10000.0,1.0,1.0,21275.30859375,0.0
product.Logs_Grade_H.managed.Total.CC,15,150,10.0,0.0,10000.0,1.0,1.0,21415.228515625,0.0
product.Logs_Grade_H.managed.Total.CC,16,160,10.0,0.0,10000.0,1.0,1.0,8303.216796875,0.0
product.Logs_Grade_H.managed.Total.CC,17,170,10.0,0.0,10000.0,1.0,1.0,23768.78125,0.0
product.Logs_Grade_H.managed.Total.CC,18,180,10.0,0.0,10000.0,1.0,1.0,19904.130859375,0.0
product.Logs_Grade_H.managed.Total.CC,19,190,10.0,0.0,10000.0,1.0,1.0,20606.37109375,0.0
product.Logs_Grade_H.managed.Total.CC,20,200,10.0,0.0,10000.0,1.0,1.0,12864.158203125,0.0
product.Logs_Grade_H.managed.Total.CC,21,210,10.0,0.0,10000.0,1.0,1.0,18503.16796875,0.0
product.Logs_Grade_H.managed.Total.CC,22,220,10.0,0.0,10000.0,1.0,1.0,13635.9111328125,0.0
product.Logs_Grade_H.managed.Total.CC,23,230,10.0,0.0,10000.0,1.0,1.0,18777.23046875,0.0
product.Logs_Grade_H.managed.Total.CC,24,240,10.0,0.0,10000.0,1.0,1.0,33914.28125,0.0
product.Logs_Grade_H.managed.Total.CC,25,250,10.0,0.0,10000.0,1.0,1.0,17538.611328125,0.0
product.Logs_Grade_H.managed.Total.CC,26,260,10.0,0.0,10000.0,1.0,1.0,8680.931640625,0.0
product.Logs_Grade_H.managed.Total.CC,27,270,10.0,0.0,10000.0,1.0,1.0,21421.44140625,0.0
product.Logs_Grade_H.managed.Total.CC,28,280,10.0,0.0,10000.0,1.0,1.0,19065.44140625,0.0
product.Logs_Grade_H.managed.Total.CC,29,290,10.0,0.0,10000.0,1.0,1.0,13728.1953125,0.0
product.Logs_Grade_H.managed.Total.CC,30,300,10.0,0.0,10000.0,1.0,1.0,15940.544921875,0.0
