TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_J.managed.Total.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.Total.CC,1,10,10.0,0.0,10000.0,1.0,1.0,36980.30078125,0.0
product.Logs_Grade_J.managed.Total.CC,2,20,10.0,0.0,10000.0,1.0,1.0,35706.01171875,0.0
product.Logs_Grade_J.managed.Total.CC,3,30,10.0,0.0,10000.0,1.0,1.0,32647.23828125,0.0
product.Logs_Grade_J.managed.Total.CC,4,40,10.0,0.0,10000.0,1.0,1.0,34949.26953125,0.0
product.Logs_Grade_J.managed.Total.CC,5,50,10.0,0.0,10000.0,1.0,1.0,35005.84765625,0.0
product.Logs_Grade_J.managed.Total.CC,6,60,10.0,0.0,10000.0,1.0,1.0,32274.890625,0.0
product.Logs_Grade_J.managed.Total.CC,7,70,10.0,0.0,10000.0,1.0,1.0,27046.322265625,0.0
product.Logs_Grade_J.managed.Total.CC,8,80,10.0,0.0,10000.0,1.0,1.0,25829.203125,0.0
product.Logs_Grade_J.managed.Total.CC,9,90,10.0,0.0,10000.0,1.0,1.0,31075.564453125,0.0
product.Logs_Grade_J.managed.Total.CC,10,100,10.0,0.0,10000.0,1.0,1.0,35960.63671875,0.0
product.Logs_Grade_J.managed.Total.CC,11,110,10.0,0.0,10000.0,1.0,1.0,36628.56640625,0.0
product.Logs_Grade_J.managed.Total.CC,12,120,10.0,0.0,10000.0,1.0,1.0,33948.53515625,0.0
product.Logs_Grade_J.managed.Total.CC,13,130,10.0,0.0,10000.0,1.0,1.0,20855.1875,0.0
product.Logs_Grade_J.managed.Total.CC,14,140,10.0,0.0,10000.0,1.0,1.0,29558.47265625,0.0
product.Logs_Grade_J.managed.Total.CC,15,150,10.0,0.0,10000.0,1.0,1.0,37722.67578125,0.0
product.Logs_Grade_J.managed.Total.CC,16,160,10.0,0.0,10000.0,1.0,1.0,30961.62890625,0.0
product.Logs_Grade_J.managed.Total.CC,17,170,10.0,0.0,10000.0,1.0,1.0,35514.0703125,0.0
product.Logs_Grade_J.managed.Total.CC,18,180,10.0,0.0,10000.0,1.0,1.0,36160.8671875,0.0
product.Logs_Grade_J.managed.Total.CC,19,190,10.0,0.0,10000.0,1.0,1.0,35966.55859375,0.0
product.Logs_Grade_J.managed.Total.CC,20,200,10.0,0.0,10000.0,1.0,1.0,31036.103515625,0.0
product.Logs_Grade_J.managed.Total.CC,21,210,10.0,0.0,10000.0,1.0,1.0,36425.21875,0.0
product.Logs_Grade_J.managed.Total.CC,22,220,10.0,0.0,10000.0,1.0,1.0,20213.9765625,0.0
product.Logs_Grade_J.managed.Total.CC,23,230,10.0,0.0,10000.0,1.0,1.0,24563.55859375,0.0
product.Logs_Grade_J.managed.Total.CC,24,240,10.0,0.0,10000.0,1.0,1.0,27786.603515625,0.0
product.Logs_Grade_J.managed.Total.CC,25,250,10.0,0.0,10000.0,1.0,1.0,42829.28125,0.0
product.Logs_Grade_J.managed.Total.CC,26,260,10.0,0.0,10000.0,1.0,1.0,48660.49609375,0.0
product.Logs_Grade_J.managed.Total.CC,27,270,10.0,0.0,10000.0,1.0,1.0,36403.9140625,0.0
product.Logs_Grade_J.managed.Total.CC,28,280,10.0,0.0,10000.0,1.0,1.0,41486.0234375,0.0
product.Logs_Grade_J.managed.Total.CC,29,290,10.0,0.0,10000.0,1.0,1.0,42969.03125,0.0
product.Logs_Grade_J.managed.Total.CC,30,300,10.0,0.0,10000.0,1.0,1.0,42216.37890625,0.0
