TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,1,10,10.0,0.0,10000.0,1.0,1.0,492.09600830078125,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,2,20,10.0,0.0,10000.0,1.0,1.0,1225.7760009765625,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,3,30,10.0,0.0,10000.0,1.0,1.0,1004.3280029296875,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,4,40,10.0,0.0,10000.0,1.0,1.0,1148.10302734375,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,5,50,10.0,0.0,10000.0,1.0,1.0,1720.843017578125,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,6,60,10.0,0.0,10000.0,1.0,1.0,1075.4219970703125,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,8,80,10.0,0.0,10000.0,1.0,1.0,231.63800048828125,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,9,90,10.0,0.0,10000.0,1.0,1.0,949.093017578125,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,10,100,10.0,0.0,10000.0,1.0,1.0,1381.29296875,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,11,110,10.0,0.0,10000.0,1.0,1.0,202.30299377441406,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,12,120,10.0,0.0,10000.0,1.0,1.0,1606.927978515625,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,13,130,10.0,0.0,10000.0,1.0,1.0,1477.8819580078125,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,14,140,10.0,0.0,10000.0,1.0,1.0,877.5709838867188,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,15,150,10.0,0.0,10000.0,1.0,1.0,1203.9580078125,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,17,170,10.0,0.0,10000.0,1.0,1.0,1638.6259765625,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,18,180,10.0,0.0,10000.0,1.0,1.0,1082.3270263671875,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,19,190,10.0,0.0,10000.0,1.0,1.0,489.0840148925781,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,20,200,10.0,0.0,10000.0,1.0,1.0,1212.6719970703125,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,21,210,10.0,0.0,10000.0,1.0,1.0,727.3400268554688,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,22,220,10.0,0.0,10000.0,1.0,1.0,102.99700164794922,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,23,230,10.0,0.0,10000.0,1.0,1.0,1513.9610595703125,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,24,240,10.0,0.0,10000.0,1.0,1.0,1312.2900390625,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,25,250,10.0,0.0,10000.0,1.0,1.0,1955.8590087890625,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,26,260,10.0,0.0,10000.0,1.0,1.0,158.32000732421875,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,27,270,10.0,0.0,10000.0,1.0,1.0,992.10400390625,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,28,280,10.0,0.0,10000.0,1.0,1.0,1543.93701171875,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,29,290,10.0,0.0,10000.0,1.0,1.0,309.0050048828125,0.0
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,30,300,10.0,0.0,10000.0,1.0,1.0,746.7440185546875,0.0
