TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Treated.managed.CWHvm_HW_CW_H.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,1,10,10.0,0.0,10000.0,1.0,1.0,11.722999572753906,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,2,20,10.0,0.0,10000.0,1.0,1.0,2.752000093460083,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,4,40,10.0,0.0,10000.0,1.0,1.0,6.263999938964844,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,6,60,10.0,0.0,10000.0,1.0,1.0,14.854000091552734,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,7,70,10.0,0.0,10000.0,1.0,1.0,31.079999923706055,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,8,80,10.0,0.0,10000.0,1.0,1.0,3.743000030517578,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,10,100,10.0,0.0,10000.0,1.0,1.0,5.9710001945495605,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,11,110,10.0,0.0,10000.0,1.0,1.0,8.503999710083008,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,16,160,10.0,0.0,10000.0,1.0,1.0,21.118000030517578,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,19,190,10.0,0.0,10000.0,1.0,1.0,37.05099868774414,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,20,200,10.0,0.0,10000.0,1.0,1.0,3.743000030517578,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,21,210,10.0,0.0,10000.0,1.0,1.0,8.503999710083008,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,26,260,10.0,0.0,10000.0,1.0,1.0,14.854000091552734,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,28,280,10.0,0.0,10000.0,1.0,1.0,12.234999656677246,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,29,290,10.0,0.0,10000.0,1.0,1.0,33.832000732421875,0.0
product.Treated.managed.CWHvm_HW_CW_H.CC,30,300,10.0,0.0,10000.0,1.0,1.0,9.494999885559082,0.0
