BLOCK,GROUP
1,forest
2,forest
3,forest
4,forest
5,forest
6,forest
7,forest
8,forest
9,forest
10,forest
11,forest
12,forest
13,forest
14,forest
15,forest
16,forest
17,forest
18,forest
19,forest
20,forest
21,forest
22,forest
23,forest
24,forest
25,forest
26,forest
27,forest
28,forest
29,forest
30,forest
31,forest
32,forest
33,forest
34,forest
35,forest
36,forest
37,forest
38,forest
39,forest
40,forest
41,forest
42,forest
43,forest
44,forest
45,forest
46,forest
47,forest
48,forest
49,forest
50,forest
51,forest
52,forest
53,forest
54,forest
55,forest
56,forest
57,forest
58,forest
59,forest
60,forest
61,forest
62,forest
63,forest
64,forest
65,forest
66,forest
67,forest
68,forest
69,forest
70,forest
71,forest
72,forest
73,forest
74,forest
75,forest
76,forest
77,forest
78,forest
79,forest
80,forest
81,forest
82,forest
83,forest
84,forest
85,forest
86,forest
87,forest
88,forest
89,forest
90,forest
91,forest
92,forest
93,forest
94,forest
95,forest
96,forest
97,forest
98,forest
99,forest
100,forest
101,forest
102,forest
103,forest
104,forest
105,forest
106,forest
107,forest
108,forest
109,forest
110,forest
111,forest
112,forest
113,forest
114,forest
115,forest
116,forest
117,forest
118,forest
119,forest
120,forest
121,forest
122,forest
123,forest
124,forest
125,forest
126,forest
127,forest
128,forest
129,forest
130,forest
131,forest
132,forest
133,forest
134,forest
135,forest
136,forest
137,forest
138,forest
139,forest
140,forest
141,forest
142,forest
143,forest
144,forest
145,forest
146,forest
147,forest
148,forest
149,forest
150,forest
151,forest
152,forest
153,forest
154,forest
155,forest
156,forest
157,forest
158,forest
159,forest
160,forest
161,forest
162,forest
163,forest
164,forest
165,forest
166,forest
167,forest
168,forest
169,forest
170,forest
171,forest
172,forest
173,forest
174,forest
175,forest
176,forest
177,forest
178,forest
179,forest
180,forest
181,forest
182,forest
183,forest
184,forest
185,forest
186,forest
187,forest
188,forest
189,forest
190,forest
191,forest
192,forest
193,forest
194,forest
195,forest
196,forest
197,forest
198,forest
199,forest
200,forest
201,forest
202,forest
203,forest
204,forest
205,forest
206,forest
207,forest
208,forest
209,forest
210,forest
211,forest
212,forest
213,forest
214,forest
215,forest
216,forest
217,forest
218,forest
14,Bike1 
43,Bike1 
101,Bike1 
102,Bike1 
140,Bike1 
212,Bike1 
7,Bike2
112,Bike2
134,Bike2
137,Bike2
193,Bike2
56,Bike3
69,Bike3
108,Bike3
127,Bike3
166,Bike3
29,Camp1
41,Camp1
68,Camp1
74,Camp1
95,Camp1
105,Camp1
120,Camp1
152,Camp1
181,Camp1
3,Camp2
12,Camp2
20,Camp2
26,Camp2
28,Camp2
36,Camp2
189,Camp2
191,Camp2
198,Camp2
49,Camp3
57,Camp3
91,Camp3
96,Camp3
138,Camp3
139,Camp3
151,Camp3
183,Camp3
188,Camp3
13,Hike1 
40,Hike1 
42,Hike1 
46,Hike1 
61,Hike1 
73,Hike1 
76,Hike1 
116,Hike1 
164,Hike1 
6,Hike2
33,Hike2
53,Hike2
58,Hike2
83,Hike2
131,Hike2
153,Hike2
155,Hike2
165,Hike2
210,Hike2
218,Hike2
23,Hike3
37,Hike3
71,Hike3
79,Hike3
130,Hike3
159,Hike3
182,Hike3
197,Hike3
199,Hike3
88,ECO1
100,ECO1
104,ECO1
117,ECO1
160,ECO1
24,ECO2
143,ECO2
158,ECO2
8,ECO3
55,ECO3
60,ECO3
174,ECO3
215,ECO3
