CURVE,X,Y
2226,0,0.00102
1627,0,0.00102
1150,0,0.0015
2604,0,0.00153
1858,0,0.00153
1632,0,0.00153
1058,0,0.00195
616,0,0.002
326,0,0.00195
306,0,0.00195
613,0,0.0022
323,0,0.00214
957,0,0.0024
2505,0,0.00909
2420,0,0.00955
617,0,0.0024
327,0,0.00234
307,0,0.00234
303,0,0.00214
321,0,0.00955
2435,0,0.0125
635,0,0.01
618,0,0.01
611,0,0.0098
308,0,0.00974
301,0,0.00955
139,0,0.0015
126,0,0.0015
1646,0,0.01643
1869,0,0.01643
1629,0,0.01643
137,0,0.0161
123,0,0.0161
121,0,0.001
1645,0,0.02602
1856,0,0.02602
1628,0,0.02602
2507,0,0.04546
2038,0,0.04762
2436,0,0.0625
1956,0,0.05
634,0,0.036
614,0,0.036
36,0,0.01761
14,0,0.01761
2508,0,0.07273
2334,0,0.08333
2158,0,0.08889
2156,0,0.11111
2098,0,0.125
543,0,0.1
457,0,0.09799
444,0,0.09799
324,0,0.09743
304,0,0.09743
32,0,0.06775
2506,0,0.14546
2039,0,0.14286
2335,0,0.16667
2157,0,0.17778
1341,0,0.2
2323,0,0.2
2323,1,0.2
2323,10,1.9
2323,20,3.9
2323,30,5.8
2323,40,7.8
2323,60,11.6
2323,70,13.6
2323,80,15.5
2323,90,17.5
2323,110,21.3
2323,120,23.3
2323,130,25.2
2323,140,27.2
2323,160,31
2323,170,33
2323,180,34.9
2323,190,36.9
2323,210,40.7
2323,220,42.7
2323,230,44.6
2323,240,46.6
2323,260,50.4
2323,270,52.4
2323,280,54.3
2323,290,56.3
2323,299,58
1950,0,0.2
1950,1,0.2
1950,10,1.7
1950,290,49.3
1950,299,50.8
456,0,0.19598
443,0,0.19598
322,0,0.19486
302,0,0.19486
2510,0,0.21818
2037,0,0.2381
234,0,0.2
2328,0,0.25
845,0,0.24498
607,0,0.3
607,1,0.3
607,10,3.3
607,20,6.5
607,30,9.8
607,40,13
607,60,19.6
607,70,22.8
607,80,26.1
607,90,29.3
607,110,35.9
607,120,39.1
607,130,42.4
607,140,45.6
607,160,52.2
607,170,55.4
607,180,58.7
607,190,61.9
607,210,68.5
607,220,71.7
607,230,75
607,240,78.2
607,260,84.8
607,270,88
607,280,91.3
607,290,94.5
607,299,97.5
2311,0,0.3
2311,1,0.3
2311,10,3.2
2311,290,92.8
2311,299,95.7
544,0,0.3
943,0,0.3
943,1,0.3
943,10,3.2
943,290,92.8
943,299,95.7
125,0,0.24498
122,0,0.14699
35,0,0.1355
13,0,0.1355
2327,0,0.35
2216,0,0.37532
1857,0,0.37532
1630,0,0.37532
633,0,0.3656
612,0,0.3656
1734,0,0.4
1734,1,0.4
1734,10,4.1
1734,290,118.9
1734,299,122.6
296,0,0.4
296,1,0.4
296,10,4.1
296,290,118.9
296,299,122.6
33,0,0.30488
34,0,0.47425
12,0,0.47425
11,0,0.30488
10,0,0.06775
2509,0,0.50909
2036,0,0.57143
1955,0,0.55
1407,0,0.572
1625,0,0.5
1625,1,0.5
1625,10,4.8
1625,20,9.6
1625,30,14.3
1625,70,33.5
1625,80,38.2
1625,120,57.4
1625,130,62.1
1625,170,81.3
1625,180,86
1625,220,105.2
1625,230,109.9
1625,270,129.1
1625,280,133.8
1625,290,138.6
1625,299,142.9
2096,0,0.5
2096,1,0.5
2096,10,4.8
2096,20,9.6
2096,30,14.3
2096,70,33.5
2096,80,38.2
2096,120,57.4
2096,130,62.1
2096,170,81.3
2096,180,86
2096,220,105.2
2096,230,109.9
2096,270,129.1
2096,280,133.8
2096,290,138.6
2096,299,142.9
1146,0,0.5
1146,1,0.5
1146,10,4.8
1146,20,9.6
1146,30,14.3
1146,70,33.5
1146,80,38.2
1146,120,57.4
1146,130,62.1
1146,170,81.3
1146,180,86
1146,220,105.2
1146,230,109.9
1146,270,129.1
1146,280,133.8
1146,290,138.6
1146,299,142.9
2214,0,0.5
2214,1,0.5
2214,20,10
2214,30,14.9
2214,70,34.9
2214,80,39.8
2214,120,59.8
2214,130,64.7
2214,170,84.7
2214,180,89.6
2214,220,109.6
2214,230,114.5
2214,270,134.5
2214,280,139.4
2214,299,148.9
2418,0,0.5
2418,1,0.5
2418,20,10
2418,30,15.1
2418,70,35.1
2418,80,40.2
2418,120,60.2
2418,130,65.3
2418,170,85.3
2418,180,90.4
2418,220,110.4
2418,230,115.5
2418,270,135.5
2418,280,140.6
2418,299,150.1
841,0,0.5
841,1,0.5
841,20,10
841,30,14.9
841,70,34.9
841,80,39.8
841,120,59.8
841,130,64.7
841,170,84.7
841,180,89.6
841,220,109.6
841,230,114.5
841,270,134.5
841,280,139.4
841,299,148.9
2336,0,0.58333
1870,0,0.57815
1631,0,0.57815
615,0,0.572
2437,0,0.6125
2421,0,0.682
2159,0,0.62222
542,0,0.6
2583,0,0.6
2583,1,0.6
2583,10,5.7
2583,20,11.3
2583,30,17
2583,40,22.6
2583,60,34
2583,70,39.6
2583,80,45.3
2583,90,50.9
2583,110,62.3
2583,120,67.9
2583,130,73.6
2583,140,79.2
2583,160,90.6
2583,170,96.2
2583,180,101.9
2583,190,107.5
2583,210,118.9
2583,220,124.5
2583,230,130.2
2583,240,135.8
2583,260,147.2
2583,270,152.8
2583,280,158.5
2583,290,164.1
2583,299,169.2
2431,0,0.6
2431,1,0.6
2431,10,5.7
2431,20,11.3
2431,30,17
2431,40,22.6
2431,60,34
2431,70,39.6
2431,80,45.3
2431,90,50.9
2431,110,62.3
2431,120,67.9
2431,130,73.6
2431,140,79.2
2431,160,90.6
2431,170,96.2
2431,180,101.9
2431,190,107.5
2431,210,118.9
2431,220,124.5
2431,230,130.2
2431,240,135.8
2431,260,147.2
2431,270,152.8
2431,280,158.5
2431,290,164.1
2431,299,169.2
1854,0,0.6
1854,1,0.6
1854,10,6.3
1854,20,12.6
1854,30,18.8
1854,70,44
1854,80,50.2
1854,120,75.4
1854,130,81.6
1854,170,106.8
1854,180,113
1854,220,138.2
1854,230,144.4
1854,270,169.6
1854,280,175.8
1854,290,182.1
1854,299,187.8
441,0,0.6
441,1,0.6
441,10,6.3
441,20,12.6
441,30,18.8
441,70,44
441,80,50.2
441,120,75.4
441,130,81.6
441,170,106.8
441,180,113
441,220,138.2
441,230,144.4
441,270,169.6
441,280,175.8
441,290,182.1
441,299,187.8
325,0,0.682
458,0,0.68593
445,0,0.68593
305,0,0.682
138,0,0.58794
124,0,0.58794
1342,0,0.8
2107,0,0.825
2099,0,0.825
235,0,0.8
2337,0,0.7
2337,1,0.7
2337,10,6.5
