CURVE,X,Y
2239,0,0.00102
1640,0,0.00102
1163,0,0.0015
2617,0,0.00153
1871,0,0.00153
1645,0,0.00153
1071,0,0.00195
629,0,0.002
326,0,0.00195
306,0,0.00195
626,0,0.0022
323,0,0.00214
970,0,0.0024
2518,0,0.00909
2433,0,0.00955
630,0,0.0024
327,0,0.00234
307,0,0.00234
303,0,0.00214
321,0,0.00955
2448,0,0.0125
648,0,0.01
631,0,0.01
624,0,0.0098
308,0,0.00974
301,0,0.00955
139,0,0.0015
126,0,0.0015
1659,0,0.01643
1882,0,0.01643
1642,0,0.01643
137,0,0.0161
123,0,0.0161
121,0,0.001
1658,0,0.02602
1869,0,0.02602
1641,0,0.02602
2520,0,0.04546
2051,0,0.04762
2449,0,0.0625
1969,0,0.05
647,0,0.036
627,0,0.036
36,0,0.01761
14,0,0.01761
2521,0,0.07273
2347,0,0.08333
2171,0,0.08889
2169,0,0.11111
2111,0,0.125
543,0,0.1
457,0,0.09799
444,0,0.09799
324,0,0.09743
304,0,0.09743
32,0,0.06775
2519,0,0.14546
2052,0,0.14286
2348,0,0.16667
2170,0,0.17778
1354,0,0.2
2336,0,0.2
2336,1,0.2
2336,10,1.9
2336,20,3.9
2336,30,5.8
2336,40,7.8
2336,60,11.6
2336,70,13.6
2336,80,15.5
2336,90,17.5
2336,110,21.3
2336,120,23.3
2336,130,25.2
2336,140,27.2
2336,160,31
2336,170,33
2336,180,34.9
2336,190,36.9
2336,210,40.7
2336,220,42.7
2336,230,44.6
2336,240,46.6
2336,260,50.4
2336,270,52.4
2336,280,54.3
2336,290,56.3
2336,299,58
1963,0,0.2
1963,1,0.2
1963,10,1.7
1963,290,49.3
1963,299,50.8
456,0,0.19598
443,0,0.19598
322,0,0.19486
302,0,0.19486
2523,0,0.21818
2050,0,0.2381
234,0,0.2
2341,0,0.25
858,0,0.24498
620,0,0.3
620,1,0.3
620,10,3.3
620,20,6.5
620,30,9.8
620,40,13
620,60,19.6
620,70,22.8
620,80,26.1
620,90,29.3
620,110,35.9
620,120,39.1
620,130,42.4
