CURVE,X,Y
2227,0,0.00102
1628,0,0.00102
1153,0,0.0015
2606,0,0.00153
1859,0,0.00153
1633,0,0.00153
1061,0,0.00195
619,0,0.002
326,0,0.00195
306,0,0.00195
616,0,0.0022
323,0,0.00214
960,0,0.0024
2507,0,0.00909
2421,0,0.00955
620,0,0.0024
327,0,0.00234
307,0,0.00234
303,0,0.00214
321,0,0.00955
2436,0,0.0125
638,0,0.01
621,0,0.01
614,0,0.0098
308,0,0.00974
301,0,0.00955
139,0,0.0015
126,0,0.0015
1647,0,0.01643
1870,0,0.01643
1630,0,0.01643
137,0,0.0161
123,0,0.0161
121,0,0.001
1646,0,0.02602
1857,0,0.02602
1629,0,0.02602
2509,0,0.04546
2039,0,0.04762
2437,0,0.0625
1957,0,0.05
637,0,0.036
617,0,0.036
36,0,0.01761
14,0,0.01761
2510,0,0.07273
2335,0,0.08333
2159,0,0.08889
2157,0,0.11111
2099,0,0.125
457,0,0.09799
444,0,0.09799
324,0,0.09743
304,0,0.09743
32,0,0.06775
2508,0,0.14546
2040,0,0.14286
2336,0,0.16667
2158,0,0.17778
543,0,0.2
2324,0,0.2
2324,1,0.2
2324,10,1.9
2324,20,3.9
2324,30,5.8
2324,40,7.8
2324,60,11.6
2324,70,13.6
2324,80,15.5
2324,90,17.5
2324,110,21.3
2324,120,23.3
2324,130,25.2
2324,140,27.2
2324,160,31
2324,170,33
2324,180,34.9
2324,190,36.9
2324,210,40.7
2324,220,42.7
2324,230,44.6
2324,240,46.6
2324,260,50.4
2324,270,52.4
2324,280,54.3
2324,290,56.3
2324,299,58
1951,0,0.2
1951,1,0.2
1951,10,1.7
1951,290,49.3
1951,299,50.8
456,0,0.19598
443,0,0.19598
322,0,0.19486
302,0,0.19486
2512,0,0.21818
2038,0,0.2381
234,0,0.2
2329,0,0.25
848,0,0.24498
2312,0,0.3
2312,1,0.3
2312,10,3.2
2312,290,92.8
2312,299,95.7
2439,0,0.3
946,0,0.3
946,1,0.3
946,10,3.2
946,290,92.8
946,299,95.7
610,0,0.3
610,1,0.3
610,10,3.3
610,20,6.5
610,30,9.8
610,40,13
610,60,19.6
610,70,22.8
610,80,26.1
610,90,29.3
610,110,35.9
610,120,39.1
610,130,42.4
610,140,45.6
610,160,52.2
610,170,55.4
610,180,58.7
610,190,61.9
610,210,68.5
610,220,71.7
610,230,75
610,240,78.2
610,260,84.8
610,270,88
610,280,91.3
610,290,94.5
610,299,97.5
125,0,0.24498
122,0,0.14699
35,0,0.1355
13,0,0.1355
2328,0,0.35
2217,0,0.37532
1858,0,0.37532
1631,0,0.37532
636,0,0.3656
615,0,0.3656
542,0,0.4
1735,0,0.4
1735,1,0.4
1735,10,4.1
1735,290,118.9
1735,299,122.6
296,0,0.4
296,1,0.4
296,10,4.1
296,290,118.9
296,299,122.6
33,0,0.30488
34,0,0.47425
12,0,0.47425
11,0,0.30488
10,0,0.06775
2511,0,0.50909
2037,0,0.57143
1956,0,0.55
1408,0,0.572
1626,0,0.5
1626,1,0.5
1626,10,4.8
1626,20,9.6
1626,30,14.3
1626,70,33.5
1626,80,38.2
1626,120,57.4
1626,130,62.1
1626,170,81.3
1626,180,86
1626,220,105.2
1626,230,109.9
1626,270,129.1
1626,280,133.8
1626,290,138.6
1626,299,142.9
2097,0,0.5
2097,1,0.5
2097,10,4.8
2097,20,9.6
2097,30,14.3
2097,70,33.5
2097,80,38.2
2097,120,57.4
2097,130,62.1
2097,170,81.3
2097,180,86
2097,220,105.2
2097,230,109.9
2097,270,129.1
2097,280,133.8
2097,290,138.6
2097,299,142.9
1149,0,0.5
1149,1,0.5
1149,10,4.8
1149,20,9.6
1149,30,14.3
1149,70,33.5
1149,80,38.2
1149,120,57.4
1149,130,62.1
1149,170,81.3
1149,180,86
1149,220,105.2
1149,230,109.9
1149,270,129.1
1149,280,133.8
1149,290,138.6
1149,299,142.9
2215,0,0.5
2215,1,0.5
2215,20,10
2215,30,14.9
2215,70,34.9
2215,80,39.8
2215,120,59.8
2215,130,64.7
2215,170,84.7
2215,180,89.6
2215,220,109.6
2215,230,114.5
2215,270,134.5
2215,280,139.4
2215,299,148.9
2419,0,0.5
2419,1,0.5
2419,20,10
2419,30,15.1
2419,70,35.1
2419,80,40.2
2419,120,60.2
2419,130,65.3
2419,170,85.3
2419,180,90.4
2419,220,110.4
2419,230,115.5
2419,270,135.5
2419,280,140.6
2419,299,150.1
844,0,0.5
844,1,0.5
844,20,10
844,30,14.9
844,70,34.9
844,80,39.8
844,120,59.8
844,130,64.7
844,170,84.7
844,180,89.6
844,220,109.6
844,230,114.5
844,270,134.5
844,280,139.4
844,299,148.9
2337,0,0.58333
1871,0,0.57815
1632,0,0.57815
618,0,0.572
2438,0,0.6125
2422,0,0.682
2160,0,0.62222
2585,0,0.6
2585,1,0.6
2585,10,5.7
2585,20,11.3
2585,30,17
2585,40,22.6
2585,60,34
2585,70,39.6
2585,80,45.3
2585,90,50.9
2585,110,62.3
2585,120,67.9
2585,130,73.6
2585,140,79.2
2585,160,90.6
2585,170,96.2
2585,180,101.9
2585,190,107.5
2585,210,118.9
2585,220,124.5
2585,230,130.2
2585,240,135.8
2585,260,147.2
2585,270,152.8
2585,280,158.5
2585,290,164.1
2585,299,169.2
2432,0,0.6
2432,1,0.6
2432,10,5.7
2432,20,11.3
2432,30,17
2432,40,22.6
2432,60,34
2432,70,39.6
2432,80,45.3
2432,90,50.9
2432,110,62.3
2432,120,67.9
2432,130,73.6
2432,140,79.2
2432,160,90.6
2432,170,96.2
2432,180,101.9
2432,190,107.5
2432,210,118.9
2432,220,124.5
2432,230,130.2
2432,240,135.8
2432,260,147.2
2432,270,152.8
2432,280,158.5
2432,290,164.1
2432,299,169.2
1855,0,0.6
1855,1,0.6
1855,10,6.3
1855,20,12.6
1855,30,18.8
1855,70,44
1855,80,50.2
1855,120,75.4
1855,130,81.6
1855,170,106.8
1855,180,113
1855,220,138.2
1855,230,144.4
1855,270,169.6
1855,280,175.8
1855,290,182.1
1855,299,187.8
441,0,0.6
441,1,0.6
441,10,6.3
441,20,12.6
441,30,18.8
441,70,44
441,80,50.2
441,120,75.4
441,130,81.6
441,170,106.8
441,180,113
441,220,138.2
441,230,144.4
441,270,169.6
441,280,175.8
441,290,182.1
441,299,187.8
325,0,0.682
458,0,0.68593
445,0,0.68593
305,0,0.682
138,0,0.58794
124,0,0.58794
1344,0,0.8
2108,0,0.825
2100,0,0.825
235,0,0.8
2338,0,0.7
2338,1,0.7
2338,10,6.5
2338,20,13.1
2338,30,19.6
2338,40,26.2
2338,60,39.2
2338,70,45.8
2338,80,52.3
2338,90,58.9
2338,110,71.9
2338,120,78.5
2338,130,85
2338,140,91.6
2338,160,104.6
2338,170,111.2
2338,180,117.7
2338,190,124.3
2338,210,137.3
2338,220,143.9
2338,230,150.4
2338,240,157
